method,n,d,c_ratio,tightness,seed,outcome,build_ms,solve_ms,total_ms,verified
CP-SAT,600,6,2.0,0.25,42,full_solve,5.56,16.601,22.634,True
GAC + expl repair,600,6,2.0,0.25,42,local_repair,16.542,23.441,42.433,True
CP-SAT,600,6,2.0,0.25,43,full_solve,5.524,16.392,22.393,True
GAC + expl repair,600,6,2.0,0.25,43,local_repair,16.18,9.361,27.717,True
CP-SAT,600,6,2.0,0.25,44,full_solve,5.172,18.577,24.234,True
GAC + expl repair,600,6,2.0,0.25,44,local_repair,22.233,8.582,33.185,True
CP-SAT,600,6,2.0,0.25,45,full_solve,5.245,16.757,22.482,True
GAC + expl repair,600,6,2.0,0.25,45,local_repair,15.602,21.725,48.478,True
CP-SAT,600,6,2.0,0.25,46,full_solve,5.257,15.346,21.105,True
GAC + expl repair,600,6,2.0,0.25,46,local_repair,16.97,8.816,28.048,True
