scenario,seed,decoder,direct_feasible,violations,kept_pref,decode_ms,repair_success,repair_core,repair_expansions,repair_ms,end2end_ms
S1,42,utility,0,1,0.75,0.094,1,2,0,1.9749,2.0689
S1,42,greedy_fc,1,0,0.6667,0.0298,1,0,0,0.0,0.0298
S1,42,fc_search,1,0,0.6667,0.0619,1,0,0,0.0,0.0619
S1,42,min_conflict,1,0,0.6667,0.1212,1,0,0,0.0,0.1212
S1,43,utility,1,0,0.4167,0.0923,1,0,0,0.0,0.0923
S1,43,greedy_fc,0,6,0.75,0.0268,1,9,2,0.7709,0.7977
S1,43,fc_search,1,0,0.4167,0.0605,1,0,0,0.0,0.0605
S1,43,min_conflict,1,0,0.4167,0.1292,1,0,0,0.0,0.1292
S1,44,utility,0,5,0.8333,0.0637,1,6,0,1.2541,1.3178
S1,44,greedy_fc,0,2,0.75,0.0265,1,5,1,0.5166,0.543
S1,44,fc_search,1,0,0.6667,0.4056,1,0,0,0.0,0.4056
S1,44,min_conflict,1,0,0.4167,0.1414,1,0,0,0.0,0.1414
S1,45,utility,0,2,0.6667,0.0713,1,2,0,0.6218,0.6931
S1,45,greedy_fc,0,3,0.8333,0.0265,1,6,1,0.5986,0.6251
S1,45,fc_search,1,0,0.5833,0.0703,1,0,0,0.0,0.0703
S1,45,min_conflict,1,0,0.5833,0.1134,1,0,0,0.0,0.1134
S1,46,utility,0,4,0.6667,0.0637,1,7,0,0.8783,0.942
S1,46,greedy_fc,0,3,0.75,0.0273,1,4,0,0.5563,0.5836
S1,46,fc_search,1,0,0.5,0.0664,1,0,0,0.0,0.0664
S1,46,min_conflict,1,0,0.5833,0.1466,1,0,0,0.0,0.1466
S1,47,utility,0,2,0.5,0.0653,1,3,0,0.7052,0.7705
S1,47,greedy_fc,0,3,0.6667,0.0264,1,6,1,0.551,0.5774
S1,47,fc_search,1,0,0.4167,0.0887,1,0,0,0.0,0.0887
S1,47,min_conflict,1,0,0.4167,0.1298,1,0,0,0.0,0.1298
S1,48,utility,0,1,0.75,0.0759,1,2,0,0.4611,0.537
S1,48,greedy_fc,0,1,0.75,0.0263,1,2,0,0.3721,0.3984
S1,48,fc_search,1,0,0.6667,0.0996,1,0,0,0.0,0.0996
S1,48,min_conflict,1,0,0.6667,0.1064,1,0,0,0.0,0.1064
S1,49,utility,0,1,0.5833,0.0671,1,2,0,0.4436,0.5107
S1,49,greedy_fc,0,4,0.8333,0.0241,1,9,2,0.7846,0.8087
