method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,600,0.02,42,1,24,-1,20.93,True
cpsat_hint,600,0.02,42,1,24,-1,22.103,True
incr_repair,600,0.02,42,1,24,4,6.461,True
cpsat_rebuild,600,0.02,42,2,24,-1,18.2,True
cpsat_hint,600,0.02,42,2,24,-1,20.91,True
incr_repair,600,0.02,42,2,24,3,2.523,True
cpsat_rebuild,600,0.02,42,3,24,-1,17.455,True
cpsat_hint,600,0.02,42,3,24,-1,18.627,True
incr_repair,600,0.02,42,3,24,2,2.231,True
cpsat_rebuild,600,0.02,42,4,24,-1,16.985,True
cpsat_hint,600,0.02,42,4,24,-1,18.134,True
incr_repair,600,0.02,42,4,24,1,2.325,True
cpsat_rebuild,600,0.02,42,5,24,-1,15.617,True
cpsat_hint,600,0.02,42,5,24,-1,16.592,True
incr_repair,600,0.02,42,5,24,5,2.933,True
cpsat_rebuild,600,0.02,42,6,24,-1,19.707,True
cpsat_hint,600,0.02,42,6,24,-1,19.994,True
incr_repair,600,0.02,42,6,24,4,2.465,True
cpsat_rebuild,600,0.02,42,7,24,-1,17.909,True
cpsat_hint,600,0.02,42,7,24,-1,20.602,True
incr_repair,600,0.02,42,7,24,3,2.6,True
cpsat_rebuild,600,0.02,42,8,24,-1,18.486,True
cpsat_hint,600,0.02,42,8,24,-1,19.33,True
incr_repair,600,0.02,42,8,24,2,4.639,True
cpsat_rebuild,600,0.02,42,9,24,-1,19.242,True
cpsat_hint,600,0.02,42,9,24,-1,19.463,True
incr_repair,600,0.02,42,9,24,3,2.607,True
cpsat_rebuild,600,0.02,42,10,24,-1,18.019,True
cpsat_hint,600,0.02,42,10,24,-1,17.969,True
incr_repair,600,0.02,42,10,24,3,2.744,True
cpsat_rebuild,600,0.02,42,11,24,-1,14.52,True
cpsat_hint,600,0.02,42,11,24,-1,15.566,True
incr_repair,600,0.02,42,11,24,2,2.641,True
cpsat_rebuild,600,0.02,42,12,24,-1,16.066,True
cpsat_hint,600,0.02,42,12,24,-1,17.525,True
incr_repair,600,0.02,42,12,24,3,7.344,True
cpsat_rebuild,600,0.02,42,13,24,-1,16.653,True
cpsat_hint,600,0.02,42,13,24,-1,17.854,True
incr_repair,600,0.02,42,13,24,2,2.409,True
cpsat_rebuild,600,0.02,42,14,24,-1,16.499,True
cpsat_hint,600,0.02,42,14,24,-1,17.825,True
incr_repair,600,0.02,42,14,24,3,2.441,True
cpsat_rebuild,600,0.02,42,15,24,-1,16.181,True
cpsat_hint,600,0.02,42,15,24,-1,17.162,True
incr_repair,600,0.02,42,15,24,2,3.154,True
cpsat_rebuild,600,0.02,42,16,24,-1,15.454,True
cpsat_hint,600,0.02,42,16,24,-1,19.988,True
incr_repair,600,0.02,42,16,24,1,2.106,True
cpsat_rebuild,600,0.02,42,17,24,-1,15.199,True
cpsat_hint,600,0.02,42,17,24,-1,17.157,True
incr_repair,600,0.02,42,17,24,3,2.47,True
cpsat_rebuild,600,0.02,42,18,24,-1,17.865,True
cpsat_hint,600,0.02,42,18,24,-1,21.34,True
incr_repair,600,0.02,42,18,24,1,2.416,True
cpsat_rebuild,600,0.02,42,19,24,-1,15.923,True
cpsat_hint,600,0.02,42,19,24,-1,18.594,True
incr_repair,600,0.02,42,19,24,1,2.079,True
cpsat_rebuild,600,0.02,42,20,24,-1,17.89,True
cpsat_hint,600,0.02,42,20,24,-1,21.683,True
incr_repair,600,0.02,42,20,24,2,2.475,True
cpsat_rebuild,600,0.02,42,21,24,-1,17.106,True
cpsat_hint,600,0.02,42,21,24,-1,16.232,True
incr_repair,600,0.02,42,21,24,1,2.345,True
cpsat_rebuild,600,0.02,42,22,24,-1,14.681,True
cpsat_hint,600,0.02,42,22,24,-1,17.395,True
incr_repair,600,0.02,42,22,24,2,2.209,True
cpsat_rebuild,600,0.02,42,23,24,-1,14.907,True
cpsat_hint,600,0.02,42,23,24,-1,15.631,True
incr_repair,600,0.02,42,23,24,1,6.358,True
cpsat_rebuild,600,0.02,42,24,24,-1,14.255,True
cpsat_hint,600,0.02,42,24,24,-1,14.901,True
incr_repair,600,0.02,42,24,24,3,5.279,True
cpsat_rebuild,600,0.02,42,25,24,-1,13.724,True
cpsat_hint,600,0.02,42,25,24,-1,14.642,True
incr_repair,600,0.02,42,25,24,1,2.246,True
cpsat_rebuild,600,0.02,42,26,24,-1,13.771,True
cpsat_hint,600,0.02,42,26,24,-1,15.35,True
incr_repair,600,0.02,42,26,24,3,2.198,True
cpsat_rebuild,600,0.02,42,27,24,-1,14.621,True
cpsat_hint,600,0.02,42,27,24,-1,19.882,True
incr_repair,600,0.02,42,27,24,2,3.64,True
cpsat_rebuild,600,0.02,42,28,24,-1,13.939,True
cpsat_hint,600,0.02,42,28,24,-1,15.286,True
