method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,1000,0.02,42,1,40,-1,31.11,True
cpsat_hint,1000,0.02,42,1,40,-1,31.837,True
incr_repair,1000,0.02,42,1,40,3,4.268,True
cpsat_rebuild,1000,0.02,42,2,40,-1,30.083,True
cpsat_hint,1000,0.02,42,2,40,-1,32.629,True
incr_repair,1000,0.02,42,2,40,5,4.295,True
cpsat_rebuild,1000,0.02,42,3,40,-1,29.667,True
cpsat_hint,1000,0.02,42,3,40,-1,31.389,True
incr_repair,1000,0.02,42,3,40,3,18.724,True
cpsat_rebuild,1000,0.02,42,4,40,-1,29.416,True
cpsat_hint,1000,0.02,42,4,40,-1,30.74,True
incr_repair,1000,0.02,42,4,40,8,6.084,True
cpsat_rebuild,1000,0.02,42,5,40,-1,29.089,True
cpsat_hint,1000,0.02,42,5,40,-1,30.585,True
incr_repair,1000,0.02,42,5,40,5,4.748,True
cpsat_rebuild,1000,0.02,42,6,40,-1,28.348,True
cpsat_hint,1000,0.02,42,6,40,-1,31.538,True
incr_repair,1000,0.02,42,6,40,6,15.287,True
cpsat_rebuild,1000,0.02,42,7,40,-1,28.733,True
cpsat_hint,1000,0.02,42,7,40,-1,31.085,True
incr_repair,1000,0.02,42,7,40,3,8.68,True
cpsat_rebuild,1000,0.02,42,8,40,-1,28.07,True
cpsat_hint,1000,0.02,42,8,40,-1,30.015,True
incr_repair,1000,0.02,42,8,40,4,4.097,True
cpsat_rebuild,1000,0.02,42,9,40,-1,28.165,True
cpsat_hint,1000,0.02,42,9,40,-1,30.973,True
incr_repair,1000,0.02,42,9,40,3,3.709,True
cpsat_rebuild,1000,0.02,42,10,40,-1,27.785,True
cpsat_hint,1000,0.02,42,10,40,-1,30.478,True
incr_repair,1000,0.02,42,10,40,6,8.881,True
cpsat_rebuild,1000,0.02,42,11,40,-1,26.733,True
cpsat_hint,1000,0.02,42,11,40,-1,29.749,True
incr_repair,1000,0.02,42,11,40,3,3.649,True
cpsat_rebuild,1000,0.02,42,12,40,-1,26.932,True
cpsat_hint,1000,0.02,42,12,40,-1,28.648,True
incr_repair,1000,0.02,42,12,40,3,3.568,True
cpsat_rebuild,1000,0.02,42,13,40,-1,26.534,True
cpsat_hint,1000,0.02,42,13,40,-1,28.324,True
incr_repair,1000,0.02,42,13,40,3,4.502,True
cpsat_rebuild,1000,0.02,42,14,40,-1,26.037,True
cpsat_hint,1000,0.02,42,14,40,-1,28.164,True
incr_repair,1000,0.02,42,14,40,4,5.234,True
cpsat_rebuild,1000,0.02,42,15,40,-1,25.688,True
cpsat_hint,1000,0.02,42,15,40,-1,28.185,True
incr_repair,1000,0.02,42,15,40,3,4.834,True
cpsat_rebuild,1000,0.02,42,16,40,-1,26.387,True
cpsat_hint,1000,0.02,42,16,40,-1,28.789,True
incr_repair,1000,0.02,42,16,40,4,6.85,True
cpsat_rebuild,1000,0.02,42,17,40,-1,26.056,True
cpsat_hint,1000,0.02,42,17,40,-1,27.404,True
incr_repair,1000,0.02,42,17,40,6,13.016,True
cpsat_rebuild,1000,0.02,42,18,40,-1,25.964,True
cpsat_hint,1000,0.02,42,18,40,-1,26.356,True
incr_repair,1000,0.02,42,18,40,4,4.024,True
cpsat_rebuild,1000,0.02,42,19,40,-1,24.864,True
cpsat_hint,1000,0.02,42,19,40,-1,27.385,True
incr_repair,1000,0.02,42,19,40,5,3.863,True
cpsat_rebuild,1000,0.02,42,20,40,-1,25.176,True
cpsat_hint,1000,0.02,42,20,40,-1,27.333,True
incr_repair,1000,0.02,42,20,40,5,4.588,True
cpsat_rebuild,1000,0.02,42,21,40,-1,24.83,True
cpsat_hint,1000,0.02,42,21,40,-1,26.864,True
incr_repair,1000,0.02,42,21,40,4,7.625,True
cpsat_rebuild,1000,0.02,42,22,40,-1,24.524,True
cpsat_hint,1000,0.02,42,22,40,-1,26.192,True
incr_repair,1000,0.02,42,22,40,5,6.094,True
cpsat_rebuild,1000,0.02,42,23,40,-1,23.92,True
cpsat_hint,1000,0.02,42,23,40,-1,25.739,True
incr_repair,1000,0.02,42,23,40,4,4.127,True
cpsat_rebuild,1000,0.02,42,24,40,-1,24.118,True
cpsat_hint,1000,0.02,42,24,40,-1,25.937,True
incr_repair,1000,0.02,42,24,40,3,3.994,True
cpsat_rebuild,1000,0.02,42,25,40,-1,23.781,True
cpsat_hint,1000,0.02,42,25,40,-1,26.171,True
incr_repair,1000,0.02,42,25,40,6,4.505,True
cpsat_rebuild,1000,0.02,42,26,40,-1,23.587,True
cpsat_hint,1000,0.02,42,26,40,-1,25.536,True
incr_repair,1000,0.02,42,26,40,3,9.015,True
cpsat_rebuild,1000,0.02,42,27,40,-1,22.526,True
cpsat_hint,1000,0.02,42,27,40,-1,24.315,True
incr_repair,1000,0.02,42,27,40,3,3.676,True
cpsat_rebuild,1000,0.02,42,28,40,-1,22.313,True
cpsat_hint,1000,0.02,42,28,40,-1,24.113,True
incr_repair,1000,0.02,42,28,40,3,3.618,True
cpsat_rebuild,1000,0.02,42,29,40,-1,21.899,True
cpsat_hint,1000,0.02,42,29,40,-1,23.69,True
incr_repair,1000,0.02,42,29,40,5,5.98,True
cpsat_rebuild,1000,0.02,42,30,40,-1,21.921,True
cpsat_hint,1000,0.02,42,30,40,-1,23.868,True
incr_repair,1000,0.02,42,30,40,2,3.413,True
cpsat_rebuild,1000,0.02,43,1,40,-1,31.459,True
cpsat_hint,1000,0.02,43,1,40,-1,32.943,True
incr_repair,1000,0.02,43,1,40,8,4.993,True
cpsat_rebuild,1000,0.02,43,2,40,-1,31.38,True
cpsat_hint,1000,0.02,43,2,40,-1,32.786,True
incr_repair,1000,0.02,43,2,40,10,49.612,True
cpsat_rebuild,1000,0.02,43,3,40,-1,30.974,True
cpsat_hint,1000,0.02,43,3,40,-1,33.252,True
incr_repair,1000,0.02,43,3,40,9,11.843,True
cpsat_rebuild,1000,0.02,43,4,40,-1,31.273,True
cpsat_hint,1000,0.02,43,4,40,-1,32.736,True
incr_repair,1000,0.02,43,4,40,1,3.336,True
cpsat_rebuild,1000,0.02,43,5,40,-1,30.591,True
cpsat_hint,1000,0.02,43,5,40,-1,32.747,True
incr_repair,1000,0.02,43,5,40,6,23.526,True
cpsat_rebuild,1000,0.02,43,6,40,-1,29.73,True
cpsat_hint,1000,0.02,43,6,40,-1,30.953,True
incr_repair,1000,0.02,43,6,40,5,11.203,True
cpsat_rebuild,1000,0.02,43,7,40,-1,27.944,True
cpsat_hint,1000,0.02,43,7,40,-1,29.5,True
incr_repair,1000,0.02,43,7,40,9,90.249,True
cpsat_rebuild,1000,0.02,43,8,40,-1,27.589,True
cpsat_hint,1000,0.02,43,8,40,-1,29.427,True
incr_repair,1000,0.02,43,8,40,2,3.523,True
cpsat_rebuild,1000,0.02,43,9,40,-1,27.232,True
cpsat_hint,1000,0.02,43,9,40,-1,29.236,True
incr_repair,1000,0.02,43,9,40,2,13.555,True
cpsat_rebuild,1000,0.02,43,10,40,-1,26.629,True
cpsat_hint,1000,0.02,43,10,40,-1,28.898,True
incr_repair,1000,0.02,43,10,40,2,10.275,True
cpsat_rebuild,1000,0.02,43,11,40,-1,26.204,True
cpsat_hint,1000,0.02,43,11,40,-1,27.978,True
