method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,100,0.1,42,1,20,-1,3.711,True
cpsat_hint,100,0.1,42,1,20,-1,3.674,True
incr_repair,100,0.1,42,1,20,2,1.067,True
cpsat_rebuild,100,0.1,42,2,20,-1,3.191,True
cpsat_hint,100,0.1,42,2,20,-1,3.37,True
incr_repair,100,0.1,42,2,20,0,0.057,True
cpsat_rebuild,100,0.1,42,3,20,-1,2.89,True
cpsat_hint,100,0.1,42,3,20,-1,2.849,True
incr_repair,100,0.1,42,3,20,1,0.732,True
cpsat_rebuild,100,0.1,42,4,20,-1,2.283,True
cpsat_hint,100,0.1,42,4,20,-1,2.483,True
incr_repair,100,0.1,42,4,20,4,1.029,True
cpsat_rebuild,100,0.1,42,5,20,-1,2.304,True
cpsat_hint,100,0.1,42,5,20,-1,2.767,True
incr_repair,100,0.1,42,5,20,2,2.13,True
cpsat_rebuild,100,0.1,42,6,20,-1,2.074,True
cpsat_hint,100,0.1,42,6,20,-1,2.253,True
incr_repair,100,0.1,42,6,20,1,0.799,True
cpsat_rebuild,100,0.1,42,7,20,-1,1.993,True
cpsat_hint,100,0.1,42,7,20,-1,2.258,True
incr_repair,100,0.1,42,7,20,1,0.634,True
cpsat_rebuild,100,0.1,42,8,20,-1,2.047,True
cpsat_hint,100,0.1,42,8,20,-1,2.06,True
incr_repair,100,0.1,42,8,20,2,0.801,True
cpsat_rebuild,100,0.1,42,9,20,-1,1.942,True
cpsat_hint,100,0.1,42,9,20,-1,2.111,True
incr_repair,100,0.1,42,9,20,1,0.674,True
cpsat_rebuild,100,0.1,42,10,20,-1,1.824,True
cpsat_hint,100,0.1,42,10,20,-1,2.076,True
incr_repair,100,0.1,42,10,20,1,0.724,True
cpsat_rebuild,100,0.1,42,11,20,-1,1.827,True
cpsat_hint,100,0.1,42,11,20,-1,2.167,True
incr_repair,100,0.1,42,11,20,0,0.052,True
cpsat_rebuild,100,0.1,42,12,20,-1,1.838,True
cpsat_hint,100,0.1,42,12,20,-1,1.987,True
incr_repair,100,0.1,42,12,20,0,0.05,True
cpsat_rebuild,100,0.1,42,13,20,-1,1.764,True
cpsat_hint,100,0.1,42,13,20,-1,1.971,True
incr_repair,100,0.1,42,13,20,0,0.051,True
cpsat_rebuild,100,0.1,42,14,20,-1,1.729,True
cpsat_hint,100,0.1,42,14,20,-1,1.903,True
incr_repair,100,0.1,42,14,20,0,0.052,True
cpsat_rebuild,100,0.1,42,15,20,-1,1.73,True
cpsat_hint,100,0.1,42,15,20,-1,2.054,True
incr_repair,100,0.1,42,15,20,1,0.69,True
cpsat_rebuild,100,0.1,42,16,20,-1,1.633,True
cpsat_hint,100,0.1,42,16,20,-1,1.829,True
incr_repair,100,0.1,42,16,20,0,0.051,True
cpsat_rebuild,100,0.1,42,17,20,-1,1.625,True
cpsat_hint,100,0.1,42,17,20,-1,1.903,True
incr_repair,100,0.1,42,17,20,0,0.05,True
cpsat_rebuild,100,0.1,42,18,20,-1,1.728,True
cpsat_hint,100,0.1,42,18,20,-1,1.955,True
incr_repair,100,0.1,42,18,20,1,0.767,True
cpsat_rebuild,100,0.1,42,19,20,-1,1.91,True
cpsat_hint,100,0.1,42,19,20,-1,1.971,True
incr_repair,100,0.1,42,19,20,0,0.053,True
cpsat_rebuild,100,0.1,42,20,20,-1,1.825,True
cpsat_hint,100,0.1,42,20,20,-1,1.969,True
incr_repair,100,0.1,42,20,20,0,0.063,True
cpsat_rebuild,100,0.1,42,21,20,-1,1.791,True
cpsat_hint,100,0.1,42,21,20,-1,1.881,True
incr_repair,100,0.1,42,21,20,0,0.051,True
cpsat_rebuild,100,0.1,42,22,20,-1,1.612,True
cpsat_hint,100,0.1,42,22,20,-1,1.808,True
incr_repair,100,0.1,42,22,20,0,0.055,True
cpsat_rebuild,100,0.1,42,23,20,-1,1.656,True
cpsat_hint,100,0.1,42,23,20,-1,1.775,True
incr_repair,100,0.1,42,23,20,0,0.053,True
cpsat_rebuild,100,0.1,42,24,20,-1,1.64,True
cpsat_hint,100,0.1,42,24,20,-1,1.798,True
incr_repair,100,0.1,42,24,20,0,0.052,True
cpsat_rebuild,100,0.1,42,25,20,-1,1.696,True
cpsat_hint,100,0.1,42,25,20,-1,1.873,True
incr_repair,100,0.1,42,25,20,0,0.051,True
cpsat_rebuild,100,0.1,42,26,20,-1,1.593,True
cpsat_hint,100,0.1,42,26,20,-1,1.784,True
incr_repair,100,0.1,42,26,20,0,0.055,True
cpsat_rebuild,100,0.1,42,27,20,-1,1.752,True
cpsat_hint,100,0.1,42,27,20,-1,1.88,True
incr_repair,100,0.1,42,27,20,0,0.051,True
cpsat_rebuild,100,0.1,42,28,20,-1,1.62,True
cpsat_hint,100,0.1,42,28,20,-1,1.807,True
incr_repair,100,0.1,42,28,20,0,0.053,True
cpsat_rebuild,100,0.1,42,29,20,-1,1.599,True
cpsat_hint,100,0.1,42,29,20,-1,1.791,True
incr_repair,100,0.1,42,29,20,0,0.051,True
cpsat_rebuild,100,0.1,42,30,20,-1,1.512,True
cpsat_hint,100,0.1,42,30,20,-1,1.696,True
incr_repair,100,0.1,42,30,20,1,0.717,True
cpsat_rebuild,100,0.1,43,1,20,-1,2.713,True
cpsat_hint,100,0.1,43,1,20,-1,2.801,True
incr_repair,100,0.1,43,1,20,3,1.771,True
cpsat_rebuild,100,0.1,43,2,20,-1,2.479,True
cpsat_hint,100,0.1,43,2,20,-1,2.752,True
incr_repair,100,0.1,43,2,20,3,0.927,True
cpsat_rebuild,100,0.1,43,3,20,-1,2.417,True
cpsat_hint,100,0.1,43,3,20,-1,2.406,True
incr_repair,100,0.1,43,3,20,2,1.64,True
cpsat_rebuild,100,0.1,43,4,20,-1,2.089,True
cpsat_hint,100,0.1,43,4,20,-1,2.468,True
incr_repair,100,0.1,43,4,20,2,0.86,True
cpsat_rebuild,100,0.1,43,5,20,-1,1.961,True
cpsat_hint,100,0.1,43,5,20,-1,2.212,True
incr_repair,100,0.1,43,5,20,1,0.759,True
cpsat_rebuild,100,0.1,43,6,20,-1,1.869,True
cpsat_hint,100,0.1,43,6,20,-1,2.082,True
incr_repair,100,0.1,43,6,20,2,0.88,True
cpsat_rebuild,100,0.1,43,7,20,-1,1.815,True
cpsat_hint,100,0.1,43,7,20,-1,2.133,True
incr_repair,100,0.1,43,7,20,0,0.052,True
cpsat_rebuild,100,0.1,43,8,20,-1,1.819,True
cpsat_hint,100,0.1,43,8,20,-1,2.042,True
incr_repair,100,0.1,43,8,20,0,0.051,True
cpsat_rebuild,100,0.1,43,9,20,-1,1.777,True
cpsat_hint,100,0.1,43,9,20,-1,1.999,True
incr_repair,100,0.1,43,9,20,2,0.754,True
cpsat_rebuild,100,0.1,43,10,20,-1,1.912,True
cpsat_hint,100,0.1,43,10,20,-1,1.962,True
incr_repair,100,0.1,43,10,20,0,0.053,True
cpsat_rebuild,100,0.1,43,11,20,-1,1.923,True
cpsat_hint,100,0.1,43,11,20,-1,2.301,True
incr_repair,100,0.1,43,11,20,1,0.727,True
cpsat_rebuild,100,0.1,43,12,20,-1,1.919,True
cpsat_hint,100,0.1,43,12,20,-1,2.099,True
incr_repair,100,0.1,43,12,20,0,0.057,True
cpsat_rebuild,100,0.1,43,13,20,-1,2.018,True
cpsat_hint,100,0.1,43,13,20,-1,2.222,True
incr_repair,100,0.1,43,13,20,0,0.051,True
cpsat_rebuild,100,0.1,43,14,20,-1,1.956,True
cpsat_hint,100,0.1,43,14,20,-1,2.186,True
incr_repair,100,0.1,43,14,20,0,0.056,True
cpsat_rebuild,100,0.1,43,15,20,-1,2.134,True
cpsat_hint,100,0.1,43,15,20,-1,2.258,True
incr_repair,100,0.1,43,15,20,0,0.061,True
cpsat_rebuild,100,0.1,43,16,20,-1,2.023,True
cpsat_hint,100,0.1,43,16,20,-1,2.211,True
incr_repair,100,0.1,43,16,20,0,0.051,True
cpsat_rebuild,100,0.1,43,17,20,-1,1.861,True
cpsat_hint,100,0.1,43,17,20,-1,2.025,True
incr_repair,100,0.1,43,17,20,0,0.066,True
cpsat_rebuild,100,0.1,43,18,20,-1,2.215,True
cpsat_hint,100,0.1,43,18,20,-1,2.071,True
incr_repair,100,0.1,43,18,20,0,0.068,True
cpsat_rebuild,100,0.1,43,19,20,-1,1.772,True
cpsat_hint,100,0.1,43,19,20,-1,1.99,True
incr_repair,100,0.1,43,19,20,0,0.052,True
cpsat_rebuild,100,0.1,43,20,20,-1,1.857,True
cpsat_hint,100,0.1,43,20,20,-1,2.005,True
incr_repair,100,0.1,43,20,20,0,0.052,True
cpsat_rebuild,100,0.1,43,21,20,-1,1.741,True
cpsat_hint,100,0.1,43,21,20,-1,1.895,True
incr_repair,100,0.1,43,21,20,0,0.052,True
cpsat_rebuild,100,0.1,43,22,20,-1,1.735,True
cpsat_hint,100,0.1,43,22,20,-1,1.819,True
incr_repair,100,0.1,43,22,20,0,0.052,True
cpsat_rebuild,100,0.1,43,23,20,-1,1.773,True
cpsat_hint,100,0.1,43,23,20,-1,1.917,True
incr_repair,100,0.1,43,23,20,0,0.052,True
cpsat_rebuild,100,0.1,43,24,20,-1,1.734,True
cpsat_hint,100,0.1,43,24,20,-1,1.919,True
incr_repair,100,0.1,43,24,20,0,0.052,True
cpsat_rebuild,100,0.1,43,25,20,-1,1.775,True
cpsat_hint,100,0.1,43,25,20,-1,2.259,True
incr_repair,100,0.1,43,25,20,0,0.055,True
cpsat_rebuild,100,0.1,43,26,20,-1,1.824,True
cpsat_hint,100,0.1,43,26,20,-1,1.906,True
incr_repair,100,0.1,43,26,20,0,0.052,True
cpsat_rebuild,100,0.1,43,27,20,-1,1.724,True
cpsat_hint,100,0.1,43,27,20,-1,1.94,True
incr_repair,100,0.1,43,27,20,0,0.053,True
cpsat_rebuild,100,0.1,43,28,20,-1,1.724,True
cpsat_hint,100,0.1,43,28,20,-1,1.925,True
incr_repair,100,0.1,43,28,20,0,0.055,True
