method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,600,0.1,42,1,120,-1,16.348,True
cpsat_hint,600,0.1,42,1,120,-1,17.097,True
incr_repair,600,0.1,42,1,120,20,23.732,True
cpsat_rebuild,600,0.1,42,2,120,-1,15.979,True
cpsat_hint,600,0.1,42,2,120,-1,16.667,True
incr_repair,600,0.1,42,2,120,11,3.821,True
cpsat_rebuild,600,0.1,42,3,120,-1,15.094,True
cpsat_hint,600,0.1,42,3,120,-1,16.623,True
incr_repair,600,0.1,42,3,120,20,42.378,True
cpsat_rebuild,600,0.1,42,4,120,-1,14.607,True
cpsat_hint,600,0.1,42,4,120,-1,15.147,True
incr_repair,600,0.1,42,4,120,13,13.668,True
cpsat_rebuild,600,0.1,42,5,120,-1,12.685,True
cpsat_hint,600,0.1,42,5,120,-1,13.87,True
incr_repair,600,0.1,42,5,120,8,10.11,True
cpsat_rebuild,600,0.1,42,6,120,-1,11.706,True
cpsat_hint,600,0.1,42,6,120,-1,12.927,True
incr_repair,600,0.1,42,6,120,10,3.437,True
cpsat_rebuild,600,0.1,42,7,120,-1,11.236,True
cpsat_hint,600,0.1,42,7,120,-1,12.285,True
incr_repair,600,0.1,42,7,120,8,10.44,True
cpsat_rebuild,600,0.1,42,8,120,-1,11.316,True
cpsat_hint,600,0.1,42,8,120,-1,14.752,True
incr_repair,600,0.1,42,8,120,5,3.517,True
cpsat_rebuild,600,0.1,42,9,120,-1,10.893,True
cpsat_hint,600,0.1,42,9,120,-1,11.741,True
incr_repair,600,0.1,42,9,120,6,6.226,True
cpsat_rebuild,600,0.1,42,10,120,-1,10.534,True
cpsat_hint,600,0.1,42,10,120,-1,11.4,True
incr_repair,600,0.1,42,10,120,4,3.159,True
cpsat_rebuild,600,0.1,42,11,120,-1,10.935,True
cpsat_hint,600,0.1,42,11,120,-1,12.056,True
incr_repair,600,0.1,42,11,120,2,2.252,True
cpsat_rebuild,600,0.1,42,12,120,-1,10.04,True
cpsat_hint,600,0.1,42,12,120,-1,11.344,True
incr_repair,600,0.1,42,12,120,2,2.333,True
cpsat_rebuild,600,0.1,42,13,120,-1,9.367,True
cpsat_hint,600,0.1,42,13,120,-1,10.486,True
incr_repair,600,0.1,42,13,120,1,2.011,True
cpsat_rebuild,600,0.1,42,14,120,-1,9.125,True
cpsat_hint,600,0.1,42,14,120,-1,10.803,True
incr_repair,600,0.1,42,14,120,4,2.4,True
cpsat_rebuild,600,0.1,42,15,120,-1,9.236,True
cpsat_hint,600,0.1,42,15,120,-1,10.237,True
incr_repair,600,0.1,42,15,120,3,3.049,True
cpsat_rebuild,600,0.1,42,16,120,-1,9.016,True
cpsat_hint,600,0.1,42,16,120,-1,10.599,True
incr_repair,600,0.1,42,16,120,2,2.086,True
cpsat_rebuild,600,0.1,42,17,120,-1,10.559,True
cpsat_hint,600,0.1,42,17,120,-1,10.129,True
incr_repair,600,0.1,42,17,120,1,2.594,True
cpsat_rebuild,600,0.1,42,18,120,-1,9.194,True
cpsat_hint,600,0.1,42,18,120,-1,10.196,True
incr_repair,600,0.1,42,18,120,3,2.34,True
cpsat_rebuild,600,0.1,42,19,120,-1,9.617,True
cpsat_hint,600,0.1,42,19,120,-1,10.793,True
incr_repair,600,0.1,42,19,120,1,2.02,True
cpsat_rebuild,600,0.1,42,20,120,-1,9.166,True
cpsat_hint,600,0.1,42,20,120,-1,10.594,True
incr_repair,600,0.1,42,20,120,1,2.324,True
cpsat_rebuild,600,0.1,42,21,120,-1,8.772,True
cpsat_hint,600,0.1,42,21,120,-1,9.59,True
incr_repair,600,0.1,42,21,120,6,3.0,True
cpsat_rebuild,600,0.1,42,22,120,-1,8.336,True
cpsat_hint,600,0.1,42,22,120,-1,9.905,True
incr_repair,600,0.1,42,22,120,0,0.361,True
cpsat_rebuild,600,0.1,42,23,120,-1,8.787,True
cpsat_hint,600,0.1,42,23,120,-1,10.032,True
incr_repair,600,0.1,42,23,120,2,2.102,True
cpsat_rebuild,600,0.1,42,24,120,-1,8.972,True
cpsat_hint,600,0.1,42,24,120,-1,10.167,True
incr_repair,600,0.1,42,24,120,0,0.356,True
cpsat_rebuild,600,0.1,42,25,120,-1,9.009,True
cpsat_hint,600,0.1,42,25,120,-1,10.335,True
incr_repair,600,0.1,42,25,120,0,0.36,True
cpsat_rebuild,600,0.1,42,26,120,-1,8.33,True
cpsat_hint,600,0.1,42,26,120,-1,9.68,True
incr_repair,600,0.1,42,26,120,2,2.063,True
cpsat_rebuild,600,0.1,42,27,120,-1,9.598,True
cpsat_hint,600,0.1,42,27,120,-1,9.219,True
incr_repair,600,0.1,42,27,120,0,0.368,True
cpsat_rebuild,600,0.1,42,28,120,-1,8.429,True
cpsat_hint,600,0.1,42,28,120,-1,10.08,True
incr_repair,600,0.1,42,28,120,2,2.078,True
cpsat_rebuild,600,0.1,42,29,120,-1,8.835,True
cpsat_hint,600,0.1,42,29,120,-1,9.759,True
incr_repair,600,0.1,42,29,120,0,0.359,True
cpsat_rebuild,600,0.1,42,30,120,-1,8.592,True
cpsat_hint,600,0.1,42,30,120,-1,10.586,True
incr_repair,600,0.1,42,30,120,0,0.39,True
cpsat_rebuild,600,0.1,43,1,120,-1,19.144,True
cpsat_hint,600,0.1,43,1,120,-1,20.139,True
incr_repair,600,0.1,43,1,120,23,56.74,True
cpsat_rebuild,600,0.1,43,2,120,-1,17.145,True
cpsat_hint,600,0.1,43,2,120,-1,17.928,True
incr_repair,600,0.1,43,2,120,13,31.031,True
cpsat_rebuild,600,0.1,43,3,120,-1,16.126,True
cpsat_hint,600,0.1,43,3,120,-1,16.893,True
incr_repair,600,0.1,43,3,120,16,28.025,True
cpsat_rebuild,600,0.1,43,4,120,-1,15.636,True
cpsat_hint,600,0.1,43,4,120,-1,16.473,True
incr_repair,600,0.1,43,4,120,18,72.275,True
cpsat_rebuild,600,0.1,43,5,120,-1,14.408,True
cpsat_hint,600,0.1,43,5,120,-1,15.25,True
incr_repair,600,0.1,43,5,120,19,8.166,True
cpsat_rebuild,600,0.1,43,6,120,-1,13.518,True
cpsat_hint,600,0.1,43,6,120,-1,14.407,True
incr_repair,600,0.1,43,6,120,13,42.638,True
cpsat_rebuild,600,0.1,43,7,120,-1,13.341,True
cpsat_hint,600,0.1,43,7,120,-1,14.569,True
incr_repair,600,0.1,43,7,120,13,25.428,True
cpsat_rebuild,600,0.1,43,8,120,-1,12.412,True
cpsat_hint,600,0.1,43,8,120,-1,13.307,True
incr_repair,600,0.1,43,8,120,7,3.427,True
cpsat_rebuild,600,0.1,43,9,120,-1,12.008,True
cpsat_hint,600,0.1,43,9,120,-1,13.239,True
incr_repair,600,0.1,43,9,120,6,6.035,True
cpsat_rebuild,600,0.1,43,10,120,-1,13.043,True
cpsat_hint,600,0.1,43,10,120,-1,14.525,True
incr_repair,600,0.1,43,10,120,6,3.313,True
cpsat_rebuild,600,0.1,43,11,120,-1,13.152,True
cpsat_hint,600,0.1,43,11,120,-1,14.532,True
incr_repair,600,0.1,43,11,120,5,8.443,True
cpsat_rebuild,600,0.1,43,12,120,-1,11.787,True
cpsat_hint,600,0.1,43,12,120,-1,12.861,True
incr_repair,600,0.1,43,12,120,7,3.348,True
cpsat_rebuild,600,0.1,43,13,120,-1,10.968,True
cpsat_hint,600,0.1,43,13,120,-1,12.758,True
incr_repair,600,0.1,43,13,120,7,2.79,True
cpsat_rebuild,600,0.1,43,14,120,-1,11.499,True
cpsat_hint,600,0.1,43,14,120,-1,12.569,True
incr_repair,600,0.1,43,14,120,4,3.621,True
cpsat_rebuild,600,0.1,43,15,120,-1,11.658,True
cpsat_hint,600,0.1,43,15,120,-1,13.06,True
incr_repair,600,0.1,43,15,120,5,2.705,True
cpsat_rebuild,600,0.1,43,16,120,-1,10.023,True
cpsat_hint,600,0.1,43,16,120,-1,11.572,True
incr_repair,600,0.1,43,16,120,2,2.453,True
cpsat_rebuild,600,0.1,43,17,120,-1,9.875,True
cpsat_hint,600,0.1,43,17,120,-1,11.073,True
incr_repair,600,0.1,43,17,120,3,2.224,True
cpsat_rebuild,600,0.1,43,18,120,-1,9.521,True
cpsat_hint,600,0.1,43,18,120,-1,10.764,True
incr_repair,600,0.1,43,18,120,1,2.443,True
cpsat_rebuild,600,0.1,43,19,120,-1,10.226,True
cpsat_hint,600,0.1,43,19,120,-1,10.623,True
incr_repair,600,0.1,43,19,120,4,2.555,True
cpsat_rebuild,600,0.1,43,20,120,-1,9.403,True
cpsat_hint,600,0.1,43,20,120,-1,10.577,True
incr_repair,600,0.1,43,20,120,4,2.71,True
cpsat_rebuild,600,0.1,43,21,120,-1,8.795,True
cpsat_hint,600,0.1,43,21,120,-1,10.111,True
incr_repair,600,0.1,43,21,120,2,2.172,True
cpsat_rebuild,600,0.1,43,22,120,-1,9.056,True
cpsat_hint,600,0.1,43,22,120,-1,11.588,True
incr_repair,600,0.1,43,22,120,0,0.441,True
cpsat_rebuild,600,0.1,43,23,120,-1,9.234,True
cpsat_hint,600,0.1,43,23,120,-1,10.357,True
incr_repair,600,0.1,43,23,120,0,0.36,True
cpsat_rebuild,600,0.1,43,24,120,-1,8.346,True
cpsat_hint,600,0.1,43,24,120,-1,10.009,True
incr_repair,600,0.1,43,24,120,2,2.074,True
cpsat_rebuild,600,0.1,43,25,120,-1,9.033,True
cpsat_hint,600,0.1,43,25,120,-1,10.127,True
incr_repair,600,0.1,43,25,120,2,2.898,True
cpsat_rebuild,600,0.1,43,26,120,-1,9.29,True
cpsat_hint,600,0.1,43,26,120,-1,10.417,True
incr_repair,600,0.1,43,26,120,2,2.157,True
cpsat_rebuild,600,0.1,43,27,120,-1,9.373,True
cpsat_hint,600,0.1,43,27,120,-1,10.587,True
incr_repair,600,0.1,43,27,120,0,0.38,True
