method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,1000,0.1,42,1,200,-1,29.203,True
cpsat_hint,1000,0.1,42,1,200,-1,32.234,True
incr_repair,1000,0.1,42,1,200,36,31.751,True
cpsat_rebuild,1000,0.1,42,2,200,-1,26.589,True
cpsat_hint,1000,0.1,42,2,200,-1,32.885,True
incr_repair,1000,0.1,42,2,200,30,184.142,True
cpsat_rebuild,1000,0.1,42,3,200,-1,27.945,True
cpsat_hint,1000,0.1,42,3,200,-1,27.883,True
incr_repair,1000,0.1,42,3,200,25,55.584,True
cpsat_rebuild,1000,0.1,42,4,200,-1,27.439,True
cpsat_hint,1000,0.1,42,4,200,-1,27.621,True
incr_repair,1000,0.1,42,4,200,26,7.474,True
cpsat_rebuild,1000,0.1,42,5,200,-1,24.933,True
cpsat_hint,1000,0.1,42,5,200,-1,26.271,True
incr_repair,1000,0.1,42,5,200,18,12.124,True
cpsat_rebuild,1000,0.1,42,6,200,-1,23.632,True
cpsat_hint,1000,0.1,42,6,200,-1,24.718,True
incr_repair,1000,0.1,42,6,200,12,18.609,True
cpsat_rebuild,1000,0.1,42,7,200,-1,23.8,True
cpsat_hint,1000,0.1,42,7,200,-1,25.688,True
incr_repair,1000,0.1,42,7,200,10,5.059,True
cpsat_rebuild,1000,0.1,42,8,200,-1,22.132,True
cpsat_hint,1000,0.1,42,8,200,-1,23.234,True
incr_repair,1000,0.1,42,8,200,15,5.318,True
cpsat_rebuild,1000,0.1,42,9,200,-1,23.007,True
cpsat_hint,1000,0.1,42,9,200,-1,23.731,True
incr_repair,1000,0.1,42,9,200,8,4.699,True
cpsat_rebuild,1000,0.1,42,10,200,-1,21.104,True
cpsat_hint,1000,0.1,42,10,200,-1,23.468,True
incr_repair,1000,0.1,42,10,200,15,16.751,True
cpsat_rebuild,1000,0.1,42,11,200,-1,19.211,True
cpsat_hint,1000,0.1,42,11,200,-1,21.447,True
incr_repair,1000,0.1,42,11,200,8,4.374,True
cpsat_rebuild,1000,0.1,42,12,200,-1,19.672,True
cpsat_hint,1000,0.1,42,12,200,-1,22.087,True
incr_repair,1000,0.1,42,12,200,5,6.605,True
cpsat_rebuild,1000,0.1,42,13,200,-1,19.746,True
cpsat_hint,1000,0.1,42,13,200,-1,20.601,True
incr_repair,1000,0.1,42,13,200,6,6.473,True
cpsat_rebuild,1000,0.1,42,14,200,-1,20.366,True
cpsat_hint,1000,0.1,42,14,200,-1,21.505,True
incr_repair,1000,0.1,42,14,200,4,5.447,True
cpsat_rebuild,1000,0.1,42,15,200,-1,20.048,True
cpsat_hint,1000,0.1,42,15,200,-1,20.915,True
incr_repair,1000,0.1,42,15,200,6,10.457,True
cpsat_rebuild,1000,0.1,42,16,200,-1,18.077,True
cpsat_hint,1000,0.1,42,16,200,-1,19.92,True
incr_repair,1000,0.1,42,16,200,3,27.358,True
cpsat_rebuild,1000,0.1,42,17,200,-1,18.03,True
cpsat_hint,1000,0.1,42,17,200,-1,20.222,True
incr_repair,1000,0.1,42,17,200,2,3.452,True
cpsat_rebuild,1000,0.1,42,18,200,-1,17.019,True
cpsat_hint,1000,0.1,42,18,200,-1,18.76,True
incr_repair,1000,0.1,42,18,200,3,3.567,True
cpsat_rebuild,1000,0.1,42,19,200,-1,17.362,True
cpsat_hint,1000,0.1,42,19,200,-1,19.988,True
incr_repair,1000,0.1,42,19,200,3,4.804,True
cpsat_rebuild,1000,0.1,42,20,200,-1,19.985,True
cpsat_hint,1000,0.1,42,20,200,-1,23.116,True
incr_repair,1000,0.1,42,20,200,1,3.547,True
cpsat_rebuild,1000,0.1,42,21,200,-1,21.244,True
cpsat_hint,1000,0.1,42,21,200,-1,26.034,True
incr_repair,1000,0.1,42,21,200,2,3.312,True
cpsat_rebuild,1000,0.1,42,22,200,-1,19.547,True
cpsat_hint,1000,0.1,42,22,200,-1,20.255,True
incr_repair,1000,0.1,42,22,200,0,0.637,True
cpsat_rebuild,1000,0.1,42,23,200,-1,17.928,True
cpsat_hint,1000,0.1,42,23,200,-1,20.152,True
incr_repair,1000,0.1,42,23,200,2,3.547,True
cpsat_rebuild,1000,0.1,42,24,200,-1,17.776,True
cpsat_hint,1000,0.1,42,24,200,-1,19.063,True
incr_repair,1000,0.1,42,24,200,4,3.685,True
cpsat_rebuild,1000,0.1,42,25,200,-1,17.672,True
cpsat_hint,1000,0.1,42,25,200,-1,19.915,True
incr_repair,1000,0.1,42,25,200,2,3.595,True
cpsat_rebuild,1000,0.1,42,26,200,-1,17.611,True
cpsat_hint,1000,0.1,42,26,200,-1,19.744,True
incr_repair,1000,0.1,42,26,200,1,4.486,True
cpsat_rebuild,1000,0.1,42,27,200,-1,18.064,True
cpsat_hint,1000,0.1,42,27,200,-1,20.254,True
incr_repair,1000,0.1,42,27,200,1,3.605,True
cpsat_rebuild,1000,0.1,42,28,200,-1,18.556,True
cpsat_hint,1000,0.1,42,28,200,-1,20.47,True
incr_repair,1000,0.1,42,28,200,3,7.851,True
cpsat_rebuild,1000,0.1,42,29,200,-1,17.766,True
cpsat_hint,1000,0.1,42,29,200,-1,19.514,True
incr_repair,1000,0.1,42,29,200,2,3.641,True
cpsat_rebuild,1000,0.1,42,30,200,-1,18.923,True
cpsat_hint,1000,0.1,42,30,200,-1,20.261,True
incr_repair,1000,0.1,42,30,200,0,0.665,True
cpsat_rebuild,1000,0.1,43,1,200,-1,31.044,True
cpsat_hint,1000,0.1,43,1,200,-1,32.957,True
incr_repair,1000,0.1,43,1,200,41,140.445,True
cpsat_rebuild,1000,0.1,43,2,200,-1,26.666,True
cpsat_hint,1000,0.1,43,2,200,-1,28.14,True
incr_repair,1000,0.1,43,2,200,26,77.068,True
cpsat_rebuild,1000,0.1,43,3,200,-1,26.077,True
cpsat_hint,1000,0.1,43,3,200,-1,27.754,True
incr_repair,1000,0.1,43,3,200,15,15.427,True
cpsat_rebuild,1000,0.1,43,4,200,-1,24.519,True
cpsat_hint,1000,0.1,43,4,200,-1,26.315,True
incr_repair,1000,0.1,43,4,200,16,42.091,True
cpsat_rebuild,1000,0.1,43,5,200,-1,22.198,True
cpsat_hint,1000,0.1,43,5,200,-1,23.76,True
incr_repair,1000,0.1,43,5,200,18,10.46,True
cpsat_rebuild,1000,0.1,43,6,200,-1,22.204,True
cpsat_hint,1000,0.1,43,6,200,-1,23.382,True
incr_repair,1000,0.1,43,6,200,14,7.596,True
cpsat_rebuild,1000,0.1,43,7,200,-1,21.364,True
cpsat_hint,1000,0.1,43,7,200,-1,23.277,True
incr_repair,1000,0.1,43,7,200,9,4.803,True
cpsat_rebuild,1000,0.1,43,8,200,-1,21.755,True
