method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
cpsat_rebuild,600,0.02,42,1,36,-1,18.651,4.519,14.119,True
cpsat_hint,600,0.02,42,1,36,-1,19.682,5.586,14.084,True
incr_repair,600,0.02,42,1,36,6,5.956,0.0,0.0,True
cpsat_rebuild,600,0.02,42,2,36,-1,18.563,4.151,14.404,True
cpsat_hint,600,0.02,42,2,36,-1,19.375,5.428,13.939,True
incr_repair,600,0.02,42,2,36,3,2.451,0.0,0.0,True
cpsat_rebuild,600,0.02,42,3,39,-1,17.259,4.348,12.893,True
cpsat_hint,600,0.02,42,3,39,-1,18.356,5.642,12.704,True
incr_repair,600,0.02,42,3,39,3,2.485,0.0,0.0,True
cpsat_rebuild,600,0.02,42,4,42,-1,19.165,4.179,14.977,True
cpsat_hint,600,0.02,42,4,42,-1,19.715,5.369,14.336,True
incr_repair,600,0.02,42,4,42,4,9.746,0.0,0.0,True
cpsat_rebuild,600,0.02,42,5,39,-1,16.426,4.167,12.25,True
cpsat_hint,600,0.02,42,5,39,-1,17.101,5.287,11.806,True
incr_repair,600,0.02,42,5,39,6,10.918,0.0,0.0,True
cpsat_rebuild,600,0.02,42,6,36,-1,16.103,4.134,11.962,True
cpsat_hint,600,0.02,42,6,36,-1,16.943,5.211,11.725,True
incr_repair,600,0.02,42,6,36,5,2.824,0.0,0.0,True
cpsat_rebuild,600,0.02,42,7,37,-1,17.316,4.185,13.123,True
cpsat_hint,600,0.02,42,7,37,-1,18.582,5.686,12.887,True
incr_repair,600,0.02,42,7,37,5,12.506,0.0,0.0,True
cpsat_rebuild,600,0.02,42,8,37,-1,17.986,4.296,13.679,True
cpsat_hint,600,0.02,42,8,37,-1,19.559,5.771,13.776,True
incr_repair,600,0.02,42,8,37,2,2.273,0.0,0.0,True
cpsat_rebuild,600,0.02,42,9,39,-1,18.64,4.188,14.444,True
cpsat_hint,600,0.02,42,9,39,-1,19.712,5.512,14.192,True
incr_repair,600,0.02,42,9,39,2,2.302,0.0,0.0,True
cpsat_rebuild,600,0.02,42,10,33,-1,18.829,4.278,14.541,True
cpsat_hint,600,0.02,42,10,33,-1,19.445,5.277,14.16,True
incr_repair,600,0.02,42,10,33,5,2.79,0.0,0.0,True
cpsat_rebuild,600,0.02,42,11,43,-1,18.469,4.126,14.335,True
cpsat_hint,600,0.02,42,11,43,-1,19.874,5.686,14.179,True
incr_repair,600,0.02,42,11,43,8,5.37,0.0,0.0,True
cpsat_rebuild,600,0.02,42,12,46,-1,18.488,4.148,14.323,True
cpsat_hint,600,0.02,42,12,46,-1,19.058,5.236,13.815,True
incr_repair,600,0.02,42,12,46,5,9.275,0.0,0.0,True
