method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
cpsat_rebuild,100,0.02,42,1,4,-1,3.397,0.842,2.548,True
cpsat_hint,100,0.02,42,1,4,-1,3.436,1.009,2.422,True
incr_repair,100,0.02,42,1,4,0,0.084,0.0,0.0,True
cpsat_rebuild,100,0.02,42,2,4,-1,3.799,1.091,2.702,True
cpsat_hint,100,0.02,42,2,4,-1,3.586,1.026,2.554,True
incr_repair,100,0.02,42,2,4,0,0.061,0.0,0.0,True
cpsat_rebuild,100,0.02,42,3,4,-1,3.166,0.783,2.378,True
cpsat_hint,100,0.02,42,3,4,-1,3.309,1.005,2.299,True
incr_repair,100,0.02,42,3,4,2,2.793,0.0,0.0,True
cpsat_rebuild,100,0.02,42,4,4,-1,3.826,0.828,2.993,True
cpsat_hint,100,0.02,42,4,4,-1,3.737,1.046,2.673,True
incr_repair,100,0.02,42,4,4,1,2.428,0.0,0.0,True
cpsat_rebuild,100,0.02,42,5,4,-1,3.29,0.746,2.534,True
cpsat_hint,100,0.02,42,5,4,-1,3.736,0.947,2.784,True
incr_repair,100,0.02,42,5,4,0,0.054,0.0,0.0,True
cpsat_rebuild,100,0.02,42,6,4,-1,3.454,0.858,2.59,True
cpsat_hint,100,0.02,42,6,4,-1,3.395,0.963,2.427,True
incr_repair,100,0.02,42,6,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,42,7,4,-1,3.331,0.824,2.502,True
cpsat_hint,100,0.02,42,7,4,-1,3.316,0.925,2.387,True
incr_repair,100,0.02,42,7,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,42,8,4,-1,3.418,0.877,2.535,True
cpsat_hint,100,0.02,42,8,4,-1,3.342,0.953,2.384,True
incr_repair,100,0.02,42,8,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,42,9,4,-1,3.28,0.81,2.465,True
cpsat_hint,100,0.02,42,9,4,-1,3.338,0.932,2.401,True
incr_repair,100,0.02,42,9,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,42,10,4,-1,3.34,0.786,2.549,True
cpsat_hint,100,0.02,42,10,4,-1,3.302,0.952,2.344,True
incr_repair,100,0.02,42,10,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,42,11,4,-1,3.271,0.833,2.432,True
cpsat_hint,100,0.02,42,11,4,-1,3.335,0.973,2.356,True
incr_repair,100,0.02,42,11,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,42,12,4,-1,3.122,0.819,2.298,True
cpsat_hint,100,0.02,42,12,4,-1,3.268,0.987,2.275,True
incr_repair,100,0.02,42,12,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,42,13,4,-1,2.927,0.805,2.117,True
cpsat_hint,100,0.02,42,13,4,-1,3.016,0.961,2.051,True
incr_repair,100,0.02,42,13,4,1,0.717,0.0,0.0,True
cpsat_rebuild,100,0.02,42,14,4,-1,2.887,0.779,2.103,True
cpsat_hint,100,0.02,42,14,4,-1,3.027,0.978,2.043,True
incr_repair,100,0.02,42,14,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,42,15,4,-1,2.875,0.758,2.113,True
cpsat_hint,100,0.02,42,15,4,-1,3.031,1.015,2.011,True
incr_repair,100,0.02,42,15,4,1,0.941,0.0,0.0,True
cpsat_rebuild,100,0.02,42,16,4,-1,2.857,0.809,2.043,True
cpsat_hint,100,0.02,42,16,4,-1,2.907,0.92,1.982,True
incr_repair,100,0.02,42,16,4,0,0.05,0.0,0.0,True
