method,scenario,seed,total_ms,verified,preferred_kept_frac,objective
qacm_like,S1,42,2.29,True,0.833,10.0
nswf_like,S1,42,1.974,True,0.833,2636.0
qacm_like,S1,43,0.649,True,0.667,8.0
nswf_like,S1,43,0.96,True,0.667,2427.0
qacm_like,S1,44,1.193,True,0.583,7.0
nswf_like,S1,44,1.814,True,0.583,2496.0
qacm_like,S1,45,1.124,True,0.5,6.0
nswf_like,S1,45,1.779,True,0.5,2422.0
qacm_like,S1,46,1.12,True,0.75,9.0
nswf_like,S1,46,1.645,True,0.75,2497.0
qacm_like,S1,47,0.968,True,0.417,5.0
nswf_like,S1,47,1.555,True,0.417,2288.0
qacm_like,S1,48,0.917,True,0.833,10.0
nswf_like,S1,48,1.214,True,0.833,2577.0
qacm_like,S1,49,0.829,True,0.583,7.0
nswf_like,S1,49,1.281,True,0.583,2483.0
qacm_like,S1,50,0.885,True,0.917,11.0
nswf_like,S1,50,1.356,True,0.917,2731.0
qacm_like,S1,51,0.955,True,0.583,7.0
nswf_like,S1,51,1.603,True,0.583,2441.0
qacm_like,S1,52,1.334,True,0.417,5.0
nswf_like,S1,52,1.586,True,0.417,2408.0
qacm_like,S1,53,0.911,True,0.75,9.0
nswf_like,S1,53,1.389,True,0.75,2565.0
qacm_like,S1,54,1.113,True,0.417,5.0
nswf_like,S1,54,1.711,True,0.417,2494.0
qacm_like,S1,55,1.502,True,0.5,6.0
nswf_like,S1,55,1.902,True,0.5,2470.0
qacm_like,S1,56,1.012,True,0.5,6.0
nswf_like,S1,56,1.635,True,0.5,2496.0
qacm_like,S1,57,1.45,True,0.667,8.0
nswf_like,S1,57,1.876,True,0.667,2627.0
qacm_like,S1,58,1.236,True,0.75,9.0
nswf_like,S1,58,1.869,True,0.75,2598.0
qacm_like,S1,59,0.901,True,0.667,8.0
nswf_like,S1,59,1.557,True,0.667,2524.0
qacm_like,S1,60,1.126,True,0.75,9.0
nswf_like,S1,60,1.507,True,0.75,2624.0
qacm_like,S1,61,1.2,True,0.833,10.0
nswf_like,S1,61,1.744,True,0.75,2596.0
qacm_like,S1,62,1.548,True,0.75,9.0
nswf_like,S1,62,2.228,True,0.75,2631.0
qacm_like,S1,63,1.384,True,0.833,10.0
nswf_like,S1,63,2.161,True,0.833,2659.0
qacm_like,S1,64,1.083,True,0.75,9.0
nswf_like,S1,64,1.627,True,0.75,2627.0
qacm_like,S1,65,1.582,True,0.75,9.0
nswf_like,S1,65,2.314,True,0.667,2568.0
qacm_like,S1,66,1.477,True,0.667,8.0
nswf_like,S1,66,2.206,True,0.583,2553.0
qacm_like,S1,67,0.743,True,0.667,8.0
nswf_like,S1,67,1.204,True,0.667,2499.0
qacm_like,S1,68,0.699,True,0.75,9.0
nswf_like,S1,68,1.081,True,0.75,2543.0
qacm_like,S1,69,1.335,True,0.583,7.0
nswf_like,S1,69,2.164,True,0.583,2363.0
qacm_like,S1,70,1.436,True,0.833,10.0
nswf_like,S1,70,1.889,True,0.833,2643.0
qacm_like,S1,71,0.878,True,0.75,9.0
nswf_like,S1,71,1.283,True,0.75,2610.0
qacm_like,S1,72,0.757,True,0.667,8.0
nswf_like,S1,72,1.322,True,0.667,2548.0
qacm_like,S1,73,1.379,True,0.75,9.0
nswf_like,S1,73,4.35,True,0.75,2584.0
qacm_like,S1,74,1.657,True,0.75,9.0
nswf_like,S1,74,2.246,True,0.75,2639.0
qacm_like,S1,75,0.736,True,0.583,7.0
nswf_like,S1,75,1.066,True,0.583,2434.0
qacm_like,S1,76,0.96,True,0.75,9.0
nswf_like,S1,76,1.391,True,0.75,2625.0
qacm_like,S1,77,1.029,True,0.833,10.0
nswf_like,S1,77,1.78,True,0.833,2652.0
qacm_like,S1,78,1.413,True,0.75,9.0
nswf_like,S1,78,1.815,True,0.75,2642.0
qacm_like,S1,79,0.869,True,0.833,10.0
nswf_like,S1,79,1.317,True,0.833,2612.0
qacm_like,S1,80,0.926,True,0.583,7.0
nswf_like,S1,80,1.436,True,0.583,2545.0
qacm_like,S1,81,0.897,True,0.583,7.0
nswf_like,S1,81,1.407,True,0.583,2456.0
qacm_like,S1,82,1.361,True,0.5,6.0
nswf_like,S1,82,2.372,True,0.5,2449.0
qacm_like,S1,83,0.97,True,0.333,4.0
nswf_like,S1,83,1.514,True,0.333,2150.0
qacm_like,S1,84,1.309,True,0.583,7.0
nswf_like,S1,84,1.686,True,0.583,2495.0
qacm_like,S1,85,0.748,True,0.667,8.0
nswf_like,S1,85,1.09,True,0.667,2482.0
qacm_like,S1,86,0.724,True,0.583,7.0
nswf_like,S1,86,1.156,True,0.583,2444.0
qacm_like,S1,87,0.971,True,0.5,6.0
nswf_like,S1,87,1.519,True,0.5,2502.0
qacm_like,S1,88,1.422,True,0.75,9.0
nswf_like,S1,88,2.149,True,0.75,2617.0
qacm_like,S1,89,1.43,True,0.667,8.0
nswf_like,S1,89,2.005,True,0.667,2568.0
qacm_like,S1,90,0.73,True,0.583,7.0
nswf_like,S1,90,1.301,True,0.583,2557.0
qacm_like,S1,91,1.288,True,0.75,9.0
nswf_like,S1,91,1.661,True,0.75,2600.0
qacm_like,S2,42,1.868,True,0.722,13.0
nswf_like,S2,42,2.67,True,0.667,3807.0
qacm_like,S2,43,2.094,True,0.722,13.0
nswf_like,S2,43,2.996,True,0.722,3882.0
qacm_like,S2,44,1.875,True,0.611,11.0
nswf_like,S2,44,3.568,True,0.611,3844.0
qacm_like,S2,45,1.133,True,0.722,13.0
nswf_like,S2,45,2.065,True,0.722,3807.0
qacm_like,S2,46,2.165,True,0.556,10.0
nswf_like,S2,46,4.174,True,0.556,3707.0
qacm_like,S2,47,1.928,True,0.5,9.0
nswf_like,S2,47,2.671,True,0.444,3629.0
qacm_like,S2,48,1.254,True,0.444,8.0
nswf_like,S2,48,2.428,True,0.444,3552.0
qacm_like,S2,49,2.32,True,0.611,11.0
nswf_like,S2,49,3.576,True,0.611,3833.0
qacm_like,S2,50,1.789,True,0.556,10.0
nswf_like,S2,50,3.301,True,0.5,3695.0
qacm_like,S2,51,1.469,True,0.444,8.0
nswf_like,S2,51,2.476,True,0.444,3474.0
qacm_like,S2,52,2.13,True,0.722,13.0
nswf_like,S2,52,4.013,True,0.667,3829.0
qacm_like,S2,53,2.223,True,0.722,13.0
nswf_like,S2,53,3.425,True,0.667,3842.0
qacm_like,S2,54,1.96,True,0.611,11.0
nswf_like,S2,54,3.36,True,0.611,3711.0
qacm_like,S2,55,1.589,True,0.556,10.0
nswf_like,S2,55,2.423,True,0.556,3676.0
qacm_like,S2,56,1.209,True,0.556,10.0
nswf_like,S2,56,3.072,True,0.556,3816.0
qacm_like,S2,57,2.074,True,0.722,13.0
nswf_like,S2,57,3.66,True,0.667,3827.0
qacm_like,S2,58,2.454,True,0.556,10.0
nswf_like,S2,58,3.91,True,0.556,3668.0
qacm_like,S2,59,1.637,True,0.667,12.0
nswf_like,S2,59,2.624,True,0.667,3797.0
qacm_like,S2,60,1.775,True,0.667,12.0
nswf_like,S2,60,2.738,True,0.667,3872.0
qacm_like,S2,61,1.765,True,0.5,9.0
nswf_like,S2,61,2.783,True,0.5,3641.0
qacm_like,S2,62,1.269,True,0.5,9.0
nswf_like,S2,62,2.044,True,0.5,3727.0
qacm_like,S2,63,2.323,True,0.667,12.0
nswf_like,S2,63,3.97,True,0.667,3813.0
qacm_like,S2,64,1.389,True,0.667,12.0
nswf_like,S2,64,2.374,True,0.667,3736.0
qacm_like,S2,65,1.658,True,0.556,10.0
nswf_like,S2,65,2.886,True,0.556,3688.0
qacm_like,S2,66,1.409,True,0.611,11.0
nswf_like,S2,66,2.384,True,0.611,3679.0
qacm_like,S2,67,1.776,True,0.556,10.0
nswf_like,S2,67,2.627,True,0.556,3641.0
qacm_like,S2,68,2.227,True,0.833,15.0
nswf_like,S2,68,3.4,True,0.833,4013.0
qacm_like,S2,69,2.301,True,0.611,11.0
nswf_like,S2,69,3.358,True,0.611,3794.0
qacm_like,S2,70,2.166,True,0.778,14.0
nswf_like,S2,70,3.284,True,0.778,3876.0
qacm_like,S2,71,1.868,True,0.556,10.0
nswf_like,S2,71,3.153,True,0.556,3760.0
qacm_like,S2,72,1.352,True,0.667,12.0
nswf_like,S2,72,2.726,True,0.611,3757.0
qacm_like,S2,73,2.438,True,0.667,12.0
nswf_like,S2,73,3.656,True,0.667,3828.0
qacm_like,S2,74,2.796,True,0.611,11.0
nswf_like,S2,74,3.995,True,0.611,3784.0
qacm_like,S2,75,1.312,True,0.556,10.0
nswf_like,S2,75,4.994,True,0.5,3543.0
qacm_like,S2,76,2.201,True,0.611,11.0
nswf_like,S2,76,3.15,True,0.611,3718.0
qacm_like,S2,77,0.928,True,0.556,10.0
nswf_like,S2,77,1.934,True,0.556,3621.0
qacm_like,S2,78,1.292,True,0.667,12.0
nswf_like,S2,78,2.108,True,0.667,3658.0
qacm_like,S2,79,2.39,True,0.778,14.0
nswf_like,S2,79,3.281,True,0.778,3955.0
qacm_like,S2,80,2.305,True,0.722,13.0
nswf_like,S2,80,3.998,True,0.722,3861.0
qacm_like,S2,81,2.349,True,0.556,10.0
nswf_like,S2,81,4.035,True,0.556,3675.0
qacm_like,S2,82,1.984,True,0.667,12.0
nswf_like,S2,82,2.758,True,0.667,3798.0
qacm_like,S2,83,1.392,True,0.556,10.0
nswf_like,S2,83,2.168,True,0.556,3710.0
qacm_like,S2,84,2.109,True,0.722,13.0
nswf_like,S2,84,3.476,True,0.722,3870.0
qacm_like,S2,85,2.323,True,0.5,9.0
nswf_like,S2,85,3.841,True,0.5,3647.0
qacm_like,S2,86,1.145,True,0.556,10.0
nswf_like,S2,86,1.959,True,0.556,3766.0
qacm_like,S2,87,1.411,True,0.611,11.0
nswf_like,S2,87,2.306,True,0.611,3761.0
qacm_like,S2,88,1.483,True,0.667,12.0
nswf_like,S2,88,2.9,True,0.667,3736.0
qacm_like,S2,89,1.344,True,0.444,8.0
nswf_like,S2,89,2.48,True,0.444,3617.0
qacm_like,S2,90,2.339,True,0.722,13.0
nswf_like,S2,90,3.192,True,0.722,3935.0
qacm_like,S2,91,2.181,True,0.5,9.0
nswf_like,S2,91,3.441,True,0.5,3595.0
qacm_like,S3,42,2.67,True,0.6,12.0
nswf_like,S3,42,3.544,True,0.6,4159.0
qacm_like,S3,43,2.396,True,0.6,12.0
nswf_like,S3,43,4.513,True,0.6,4107.0
qacm_like,S3,44,3.276,True,0.65,13.0
nswf_like,S3,44,4.988,True,0.65,4214.0
qacm_like,S3,45,1.763,True,0.65,13.0
nswf_like,S3,45,2.722,True,0.65,4254.0
qacm_like,S3,46,1.94,True,0.65,13.0
nswf_like,S3,46,2.952,True,0.65,4121.0
qacm_like,S3,47,1.635,True,0.6,12.0
nswf_like,S3,47,2.577,True,0.6,4193.0
qacm_like,S3,48,2.403,True,0.65,13.0
nswf_like,S3,48,3.458,True,0.6,4245.0
qacm_like,S3,49,2.23,True,0.8,16.0
nswf_like,S3,49,3.575,True,0.75,4350.0
qacm_like,S3,50,1.9,True,0.6,12.0
nswf_like,S3,50,3.151,True,0.6,4101.0
qacm_like,S3,51,1.91,True,0.65,13.0
nswf_like,S3,51,3.062,True,0.65,4188.0
qacm_like,S3,52,2.961,True,0.7,14.0
nswf_like,S3,52,5.121,True,0.7,4341.0
qacm_like,S3,53,2.91,True,0.5,10.0
nswf_like,S3,53,3.86,True,0.5,4108.0
qacm_like,S3,54,2.788,True,0.65,13.0
nswf_like,S3,54,3.894,True,0.65,4219.0
qacm_like,S3,55,2.996,True,0.7,14.0
nswf_like,S3,55,5.114,True,0.65,4361.0
qacm_like,S3,56,2.184,True,0.55,11.0
nswf_like,S3,56,4.19,True,0.55,4168.0
qacm_like,S3,57,2.021,True,0.65,13.0
nswf_like,S3,57,3.184,True,0.65,4271.0
qacm_like,S3,58,2.691,True,0.75,15.0
nswf_like,S3,58,3.314,True,0.7,4320.0
qacm_like,S3,59,2.408,True,0.65,13.0
nswf_like,S3,59,4.141,True,0.6,4249.0
qacm_like,S3,60,2.64,True,0.75,15.0
nswf_like,S3,60,4.317,True,0.75,4302.0
qacm_like,S3,61,2.96,True,0.7,14.0
nswf_like,S3,61,3.762,True,0.7,4187.0
qacm_like,S3,62,2.375,True,0.6,12.0
nswf_like,S3,62,3.38,True,0.6,4207.0
qacm_like,S3,63,1.839,True,0.6,12.0
nswf_like,S3,63,3.338,True,0.6,4125.0
qacm_like,S3,64,2.405,True,0.55,11.0
nswf_like,S3,64,4.335,True,0.5,4073.0
qacm_like,S3,65,2.389,True,0.5,10.0
nswf_like,S3,65,3.733,True,0.45,4022.0
qacm_like,S3,66,1.783,True,0.7,14.0
nswf_like,S3,66,2.472,True,0.7,4369.0
qacm_like,S3,67,1.84,True,0.55,11.0
nswf_like,S3,67,3.224,True,0.55,4128.0
qacm_like,S3,68,1.834,True,0.5,10.0
nswf_like,S3,68,3.795,True,0.5,4110.0
qacm_like,S3,69,2.278,True,0.65,13.0
nswf_like,S3,69,3.054,True,0.65,4216.0
qacm_like,S3,70,1.732,True,0.6,12.0
nswf_like,S3,70,2.713,True,0.6,4062.0
qacm_like,S3,71,1.799,True,0.65,13.0
nswf_like,S3,71,2.886,True,0.65,4217.0
qacm_like,S3,72,2.061,True,0.65,13.0
nswf_like,S3,72,3.259,True,0.65,4274.0
qacm_like,S3,73,2.802,True,0.65,13.0
nswf_like,S3,73,4.009,True,0.65,4230.0
qacm_like,S3,74,1.82,True,0.6,12.0
nswf_like,S3,74,2.659,True,0.6,4218.0
qacm_like,S3,75,2.204,True,0.6,12.0
nswf_like,S3,75,3.336,True,0.6,4207.0
qacm_like,S3,76,2.479,True,0.6,12.0
nswf_like,S3,76,4.109,True,0.6,4174.0
qacm_like,S3,77,2.117,True,0.4,8.0
nswf_like,S3,77,4.043,True,0.4,3970.0
qacm_like,S3,78,1.862,True,0.6,12.0
nswf_like,S3,78,3.181,True,0.6,4183.0
qacm_like,S3,79,2.904,True,0.7,14.0
