scenario,seed,opt_kept,repair_kept,repair_ms,opt_ms,repair_verified
S1,42,0.8333,0.75,0.63,2.413,True
S1,43,0.6667,0.6667,0.554,0.674,True
S1,44,0.5833,0.4167,1.039,1.218,True
S1,45,0.5,0.5,0.911,1.086,True
S1,46,0.75,0.6667,0.553,1.055,True
S1,47,0.4167,0.3333,0.854,1.039,True
S1,48,0.8333,0.8333,0.537,0.947,True
S1,49,0.5833,0.5833,0.683,0.868,True
S1,50,0.9167,0.9167,0.468,0.958,True
S1,51,0.5833,0.5,0.891,1.013,True
S1,52,0.4167,0.25,0.84,0.907,True
S1,53,0.75,0.75,0.554,0.846,True
S1,54,0.4167,0.3333,0.675,1.171,True
S1,55,0.5,0.3333,1.404,1.907,True
S1,56,0.5,0.3333,0.958,1.018,True
S1,57,0.6667,0.4167,0.717,1.447,True
S1,58,0.75,0.5833,0.811,1.331,True
S1,59,0.6667,0.5,0.665,0.928,True
S1,60,0.75,0.75,0.575,1.141,True
S1,61,0.8333,0.5833,0.753,1.131,True
S1,62,0.75,0.75,0.642,1.63,True
S1,63,0.8333,0.75,0.522,1.383,True
S1,64,0.75,0.6667,0.835,1.088,True
S1,65,0.75,0.6667,1.019,1.617,True
S1,66,0.6667,0.5833,1.11,1.568,True
S1,67,0.6667,0.5,0.631,0.819,True
S1,68,0.75,0.6667,0.525,0.722,True
S1,69,0.5833,0.5,1.422,1.276,True
S1,70,0.8333,0.75,0.508,1.517,True
S1,71,0.75,0.6667,0.675,1.181,True
S1,72,0.6667,0.6667,0.556,0.745,True
S1,73,0.75,0.6667,0.965,1.381,True
S1,74,0.75,0.6667,0.635,1.769,True
S1,75,0.5833,0.4167,0.549,0.776,True
S1,76,0.75,0.75,0.545,0.97,True
S1,77,0.8333,0.75,0.49,0.973,True
S1,78,0.75,0.6667,0.513,1.18,True
S1,79,0.8333,0.8333,0.43,0.9,True
S1,80,0.5833,0.5,0.812,0.918,True
S1,81,0.5833,0.5,0.897,0.857,True
S1,82,0.5,0.25,1.459,1.483,True
S1,83,0.3333,0.25,0.638,2.402,True
S1,84,0.5833,0.5833,0.578,1.221,True
S1,85,0.6667,0.5,0.517,0.693,True
S1,86,0.5833,0.5,0.594,0.784,True
S1,87,0.5,0.5,0.619,1.323,True
S1,88,0.75,0.75,0.552,1.431,True
S1,89,0.6667,0.5,0.536,1.41,True
S1,90,0.5833,0.5833,0.738,0.828,True
