suite,instance,seed,num_variables,strategy,success,status,initial_core_size,final_core_size,expansions,used_explanation,used_assumption_core,used_frontier,boundary_released,gac_time_ns,cpsat_time_ns,total_time_ns,full_scope_required
standard,S1,42,12,violated0,True,optimal,2,2,0,False,False,False,0,0,2836800,2894500,False
standard,S1,42,12,radius0,True,optimal,2,2,0,False,False,False,0,0,548700,596300,False
standard,S1,42,12,radius1,True,optimal,2,2,0,False,False,False,0,0,522000,568900,False
standard,S1,42,12,radius2,True,optimal,2,2,0,False,False,False,0,0,508400,556000,False
standard,S1,42,12,frontier,True,optimal,2,2,0,False,False,False,0,18700,506100,560800,False
standard,S1,42,12,explanation,True,optimal,2,2,0,False,False,False,0,14100,582000,633500,False
standard,S1,42,12,assumption,True,optimal,2,2,0,False,False,False,0,0,513300,548600,False
standard,S1,42,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,1119400,1165800,True
standard,S1,44,12,violated0,True,optimal,6,6,0,False,False,False,0,0,1479300,1521600,False
standard,S1,44,12,radius0,True,optimal,6,6,0,False,False,False,0,0,1346700,1392100,False
standard,S1,44,12,radius1,True,optimal,6,6,0,False,False,False,0,0,1334000,1389200,False
standard,S1,44,12,radius2,True,optimal,6,6,0,False,False,False,0,0,1339800,1389800,False
standard,S1,44,12,frontier,True,optimal,6,6,0,False,False,False,0,26900,1337400,1405400,False
standard,S1,44,12,explanation,True,optimal,6,6,0,False,False,False,0,27100,1396500,1465000,False
standard,S1,44,12,assumption,True,optimal,6,6,0,False,False,False,0,0,1340400,1382200,False
standard,S1,44,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,1516000,1561500,True
standard,S1,45,12,violated0,True,optimal,2,2,0,False,False,False,0,0,566300,602000,False
standard,S1,45,12,radius0,True,optimal,2,2,0,False,False,False,0,0,645200,689100,False
standard,S1,45,12,radius1,True,optimal,2,2,0,False,False,False,0,0,559100,600400,False
standard,S1,45,12,radius2,True,optimal,2,2,0,False,False,False,0,0,543800,583600,False
standard,S1,45,12,frontier,True,optimal,2,2,0,False,False,False,0,16700,519800,570300,False
standard,S1,45,12,explanation,True,optimal,2,2,0,False,False,False,0,16100,548400,598400,False
standard,S1,45,12,assumption,True,optimal,2,2,0,False,False,False,0,0,525400,562000,False
standard,S1,45,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,995900,1038300,True
standard,S1,50,12,violated0,True,optimal,4,4,0,False,False,False,0,0,885200,932600,False
standard,S1,50,12,radius0,True,optimal,4,4,0,False,False,False,0,0,712800,759700,False
standard,S1,50,12,radius1,True,optimal,6,6,0,False,False,False,0,0,720500,766400,False
standard,S1,50,12,radius2,True,optimal,7,7,0,False,False,False,0,0,736700,783000,False
standard,S1,50,12,frontier,True,optimal,4,4,0,False,False,False,0,37100,741200,821600,False
standard,S1,50,12,explanation,True,optimal,4,4,0,False,False,False,0,34700,651700,723500,False
standard,S1,50,12,assumption,True,optimal,4,4,0,False,False,False,0,0,1197100,1235600,False
standard,S1,50,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,800200,844600,True
standard,S1,51,12,violated0,True,optimal,2,2,0,False,False,False,0,0,521700,556700,False
standard,S1,51,12,radius0,True,optimal,2,2,0,False,False,False,0,0,481900,518100,False
standard,S1,51,12,radius1,True,optimal,2,2,0,False,False,False,0,0,489500,528300,False
standard,S1,51,12,radius2,True,optimal,2,2,0,False,False,False,0,0,493000,531900,False
standard,S1,51,12,frontier,True,optimal,2,2,0,False,False,False,0,13000,501400,545400,False
standard,S1,51,12,explanation,True,optimal,2,2,0,False,False,False,0,14900,486300,532400,False
standard,S1,51,12,assumption,True,optimal,2,2,0,False,False,False,0,0,627100,668700,False
standard,S1,51,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,978500,1027400,True
standard,S1,64,12,violated0,True,optimal,2,2,0,False,False,False,0,0,772800,822300,False
standard,S1,64,12,radius0,True,optimal,2,2,0,False,False,False,0,0,515500,557500,False
standard,S1,64,12,radius1,True,optimal,2,2,0,False,False,False,0,0,587100,2443700,False
standard,S1,64,12,radius2,True,optimal,2,2,0,False,False,False,0,0,497800,537400,False
standard,S1,64,12,frontier,True,optimal,2,2,0,False,False,False,0,14500,515500,563400,False
standard,S1,64,12,explanation,True,optimal,2,2,0,False,False,False,0,12500,495700,545300,False
standard,S1,64,12,assumption,True,optimal,2,2,0,False,False,False,0,0,499900,532200,False
standard,S1,64,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,1168600,1211300,True
standard,S1,65,12,violated0,True,optimal,2,2,0,False,False,False,0,0,628900,670500,False
standard,S1,65,12,radius0,True,optimal,2,2,0,False,False,False,0,0,502700,540000,False
standard,S1,65,12,radius1,True,optimal,2,2,0,False,False,False,0,0,499600,538900,False
standard,S1,65,12,radius2,True,optimal,2,2,0,False,False,False,0,0,492200,530400,False
standard,S1,65,12,frontier,True,optimal,2,2,0,False,False,False,0,14700,543900,592200,False
standard,S1,65,12,explanation,True,optimal,2,2,0,False,False,False,0,12800,487500,532700,False
standard,S1,65,12,assumption,True,optimal,2,2,0,False,False,False,0,0,510400,548200,False
standard,S1,65,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,1650500,1693000,True
standard,S1,73,12,violated0,True,optimal,2,2,0,False,False,False,0,0,488300,534300,False
standard,S1,73,12,radius0,True,optimal,2,2,0,False,False,False,0,0,284400,330600,False
standard,S1,73,12,radius1,True,optimal,3,3,0,False,False,False,0,0,326600,365600,False
standard,S1,73,12,radius2,True,optimal,4,4,0,False,False,False,0,0,622700,665000,False
standard,S1,73,12,frontier,True,optimal,2,2,0,False,False,False,0,27700,275400,335200,False
standard,S1,73,12,explanation,True,optimal,2,2,0,False,False,False,0,19500,264400,315000,False
standard,S1,73,12,assumption,True,optimal,2,2,0,False,False,False,0,0,459200,491900,False
standard,S1,73,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,1327400,1370600,True
standard,S1,74,12,violated0,True,optimal,4,4,0,False,False,False,0,0,981300,1025100,False
standard,S1,74,12,radius0,True,optimal,4,4,0,False,False,False,0,0,911600,958500,False
standard,S1,74,12,radius1,True,optimal,4,4,0,False,False,False,0,0,890100,933900,False
standard,S1,74,12,radius2,True,optimal,4,4,0,False,False,False,0,0,893700,937400,False
standard,S1,74,12,frontier,True,optimal,4,4,0,False,False,False,0,27500,886100,950400,False
standard,S1,74,12,explanation,True,optimal,4,4,0,False,False,False,0,23400,889300,949300,False
standard,S1,74,12,assumption,True,optimal,4,4,0,False,False,False,0,0,883000,919700,False
standard,S1,74,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,1945800,1989500,True
standard,S1,76,12,violated0,True,optimal,2,2,0,False,False,False,0,0,343400,382600,False
standard,S1,76,12,radius0,True,optimal,2,2,0,False,False,False,0,0,238400,275300,False
standard,S1,76,12,radius1,True,optimal,2,2,0,False,False,False,0,0,238200,274500,False
standard,S1,76,12,radius2,True,optimal,2,2,0,False,False,False,0,0,343700,386800,False
standard,S1,76,12,frontier,True,optimal,2,2,0,False,False,False,0,16900,281700,337400,False
standard,S1,76,12,explanation,True,optimal,2,2,0,False,False,False,0,16300,230900,277400,False
standard,S1,76,12,assumption,True,optimal,2,2,0,False,False,False,0,0,221900,253800,False
standard,S1,76,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,948500,991800,True
standard,S1,77,12,violated0,True,optimal,2,2,0,False,False,False,0,0,544500,579800,False
standard,S1,77,12,radius0,True,optimal,2,2,0,False,False,False,0,0,508000,544600,False
standard,S1,77,12,radius1,True,optimal,2,2,0,False,False,False,0,0,494300,533000,False
standard,S1,77,12,radius2,True,optimal,2,2,0,False,False,False,0,0,655800,699100,False
