suite,instance,seed,num_variables,strategy,success,status,initial_core_size,final_core_size,expansions,used_explanation,used_assumption_core,used_frontier,boundary_released,gac_time_ns,cpsat_time_ns,total_time_ns,full_scope_required
standard,S1,42,12,violated0,True,optimal,2,2,0,False,False,False,0,0,1876564,1939554,False
standard,S1,42,12,radius0,True,optimal,2,2,0,False,False,False,0,0,531450,580968,False
standard,S1,42,12,radius1,True,optimal,2,2,0,False,False,False,0,0,575663,623658,False
standard,S1,42,12,radius2,True,optimal,2,2,0,False,False,False,0,0,524873,581083,False
standard,S1,42,12,frontier,True,optimal,2,2,0,False,False,False,0,18471,551200,610288,False
standard,S1,42,12,explanation,True,optimal,2,2,0,False,False,False,0,14362,537894,592114,False
standard,S1,42,12,assumption,True,optimal,2,2,0,False,False,False,0,0,519735,560040,False
standard,S1,42,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,736613,782742,True
standard,S1,44,12,violated0,True,optimal,6,6,0,False,False,False,0,0,1165277,1210938,False
standard,S1,44,12,radius0,True,optimal,6,6,0,False,False,False,0,0,1165082,1215046,False
standard,S1,44,12,radius1,True,optimal,6,6,0,False,False,False,0,0,1223480,1276494,False
standard,S1,44,12,radius2,True,optimal,6,6,0,False,False,False,0,0,1166394,1220962,False
standard,S1,44,12,frontier,True,optimal,6,6,0,False,False,False,0,31760,1303541,1382674,False
standard,S1,44,12,explanation,True,optimal,6,6,0,False,False,False,0,30839,1137075,1213116,False
standard,S1,44,12,assumption,True,optimal,6,6,0,False,False,False,0,0,1105794,1150792,False
standard,S1,44,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,1208547,1256016,True
standard,S1,45,12,violated0,True,optimal,2,2,0,False,False,False,0,0,523992,565128,False
standard,S1,45,12,radius0,True,optimal,2,2,0,False,False,False,0,0,540858,586432,False
standard,S1,45,12,radius1,True,optimal,2,2,0,False,False,False,0,0,548413,594357,False
standard,S1,45,12,radius2,True,optimal,2,2,0,False,False,False,0,0,510485,556645,False
standard,S1,45,12,frontier,True,optimal,2,2,0,False,False,False,0,18794,537351,596394,False
standard,S1,45,12,explanation,True,optimal,2,2,0,False,False,False,0,17057,526539,582290,False
standard,S1,45,12,assumption,True,optimal,2,2,0,False,False,False,0,0,501941,541178,False
standard,S1,45,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,753653,866732,True
standard,S1,46,12,violated0,True,optimal,7,7,0,False,False,False,0,0,750231,804370,False
standard,S1,46,12,radius0,True,optimal,7,7,0,False,False,False,0,0,1064695,1115545,False
standard,S1,46,12,radius1,True,optimal,8,8,0,False,False,False,0,0,754732,806019,False
standard,S1,46,12,radius2,True,optimal,9,9,0,False,False,False,0,0,802635,856994,False
standard,S1,46,12,frontier,True,optimal,7,7,0,False,False,False,0,51776,843988,942370,False
standard,S1,46,12,explanation,True,optimal,7,7,0,False,False,False,0,51266,768005,872723,False
standard,S1,46,12,assumption,True,optimal,7,7,0,False,False,False,0,0,945410,991057,False
standard,S1,46,12,fullscope,True,optimal,12,12,0,False,False,False,0,0,845585,892664,True
standard,S1,47,12,violated0,True,optimal,3,3,0,False,False,False,0,0,585321,647806,False
standard,S1,47,12,radius0,True,optimal,3,3,0,False,False,False,0,0,615510,667186,False
standard,S1,47,12,radius1,True,optimal,6,6,0,False,False,False,0,0,653870,706156,False
standard,S1,47,12,radius2,True,optimal,8,8,0,False,False,False,0,0,691341,747202,False
standard,S1,47,12,frontier,True,optimal,3,3,0,False,False,False,0,37318,620821,713593,False
standard,S1,47,12,explanation,True,optimal,3,3,0,False,False,False,0,35573,554034,632142,False
