method,n,seed,total_time_ns,outcome,peak_mem_mb
CP-SAT,12,42,4083400,full_repair,0.0
GAC + CP-SAT,12,42,1709900,full_repair,0.0
GAC + expl repair,12,42,1250800,local_repair,0.0
ConsistXApp expl,12,42,17291000,local_repair,0.0
CP-SAT,12,43,2143800,full_repair,0.0
GAC + CP-SAT,12,43,2168400,full_repair,0.0
GAC + expl repair,12,43,921100,local_repair,0.0
ConsistXApp expl,12,43,55344300,direct,0.0
CP-SAT,12,44,2831300,full_repair,0.0
GAC + CP-SAT,12,44,2761800,full_repair,0.0
GAC + expl repair,12,44,1868000,local_repair,0.0
ConsistXApp expl,12,44,152328400,local_repair,0.0
CP-SAT,12,45,1169400,full_repair,0.0
GAC + CP-SAT,12,45,1221600,full_repair,0.0
GAC + expl repair,12,45,1086400,local_repair,0.0
ConsistXApp expl,12,45,25277400,local_repair,0.0
CP-SAT,12,46,830500,full_repair,0.0
GAC + CP-SAT,12,46,966800,full_repair,0.0
GAC + expl repair,12,46,563100,local_repair,0.0
ConsistXApp expl,12,46,3823800,direct,0.0
CP-SAT,12,47,1323900,full_repair,0.0
GAC + CP-SAT,12,47,1479100,full_repair,0.0
GAC + expl repair,12,47,1096800,local_repair,0.0
ConsistXApp expl,12,47,19814000,direct,0.0
CP-SAT,12,48,1114600,full_repair,0.0
GAC + CP-SAT,12,48,1159900,full_repair,0.0
GAC + expl repair,12,48,703200,local_repair,0.0
ConsistXApp expl,12,48,12693600,direct,0.0
CP-SAT,12,49,1468100,full_repair,0.0
GAC + CP-SAT,12,49,1552000,full_repair,0.0
GAC + expl repair,12,49,794100,local_repair,0.0
ConsistXApp expl,12,49,33689700,direct,0.0
CP-SAT,12,50,1251700,full_repair,0.0
GAC + CP-SAT,12,50,1304900,full_repair,0.0
GAC + expl repair,12,50,707200,local_repair,0.0
ConsistXApp expl,12,50,62567400,direct,0.0
CP-SAT,12,51,701000,full_repair,0.0
GAC + CP-SAT,12,51,101700,direct,0.0
GAC + expl repair,12,51,86100,direct,0.0
ConsistXApp expl,12,51,240300,direct,0.0
CP-SAT,30,42,4661800,full_repair,0.0
GAC + CP-SAT,30,42,4959500,full_repair,0.0
GAC + expl repair,30,42,3167100,local_repair,0.0
ConsistXApp expl,30,42,223181700,local_repair,0.0
CP-SAT,30,43,3046000,full_repair,0.0
GAC + CP-SAT,30,43,3267900,full_repair,0.0
GAC + expl repair,30,43,2931100,local_repair,0.0
ConsistXApp expl,30,43,201610400,direct,0.0
CP-SAT,30,44,4250700,full_repair,0.0
GAC + CP-SAT,30,44,4221800,full_repair,0.0
GAC + expl repair,30,44,3239700,local_repair,0.0
ConsistXApp expl,30,44,123304100,direct,0.0
CP-SAT,30,45,3120900,full_repair,0.0
GAC + CP-SAT,30,45,3076300,full_repair,0.0
GAC + expl repair,30,45,1453600,local_repair,0.0
ConsistXApp expl,30,45,107990200,direct,0.0
CP-SAT,30,46,4733100,full_repair,0.0
GAC + CP-SAT,30,46,4825900,full_repair,0.0
GAC + expl repair,30,46,4083700,local_repair,0.0
ConsistXApp expl,30,46,267564100,local_repair,0.0
CP-SAT,30,47,2174000,full_repair,0.0
GAC + CP-SAT,30,47,2373000,full_repair,0.0
GAC + expl repair,30,47,1175700,local_repair,0.0
ConsistXApp expl,30,47,36354300,local_repair,0.0
CP-SAT,30,48,4734800,full_repair,0.0
GAC + CP-SAT,30,48,4840800,full_repair,0.0
GAC + expl repair,30,48,4220600,local_repair,0.0
ConsistXApp expl,30,48,288055100,direct,0.0
CP-SAT,30,49,5297400,full_repair,0.0
GAC + CP-SAT,30,49,5059000,full_repair,0.0
GAC + expl repair,30,49,2650900,local_repair,0.0
ConsistXApp expl,30,49,252537100,direct,0.0
CP-SAT,30,50,2740700,full_repair,0.0
GAC + CP-SAT,30,50,2682400,full_repair,0.0
GAC + expl repair,30,50,1594200,local_repair,0.0
ConsistXApp expl,30,50,60586500,local_repair,0.0
CP-SAT,30,51,1935100,full_repair,0.0
GAC + CP-SAT,30,51,2126300,full_repair,0.0
GAC + expl repair,30,51,1369400,local_repair,0.0
