method,scenario,seed,num_variables,outcome,executed_verified,optimized_verified,repaired_verified,fallback_used,fallback_verified,raw_verified,wipeout,operational_stall,invalid_decode,continuous_iterations,total_time_ns,propagation_time_ns,continuous_time_ns,repair_time_ns,repair_attempted,repair_initial_core,repair_final_core,repair_expansions,repair_used_explanation,repair_used_assumption_core,repair_used_frontier,repair_boundary_released,repair_full_scope,repair_status,cert_overhead_ns,cert_size_bytes,values_before,values_after,tuples_before,tuples_after,cf_throughput,cf_energy,cf_hof,cf_fairness,ex_throughput,ex_energy,ex_hof,ex_fairness
Uncoordinated,S1,42,12,blocked,False,False,False,True,False,False,False,False,False,0,59700,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,36,0,37,0,16.199612006172817,3.703792410406939e-05,0.026000000020000004,0.4948423386610317,,,,
Static priority,S1,42,12,blocked,False,False,False,True,False,False,False,False,False,0,27000,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,36,0,37,0,13.154548898823027,4.01382064912345e-05,0.03800000002000001,0.39550485916247247,,,,
Continuous only,S1,42,12,blocked,False,False,False,True,False,False,False,True,False,8,4403600,0,4358400,0,False,0,0,0,False,False,False,0,False,none,0,0,36,36,37,37,13.536572313996514,4.3437879720261316e-05,0.03800000002000001,0.38440540402264256,,,,
GAC + decode,S1,42,12,blocked,False,False,False,True,False,False,False,True,False,8,1868200,74300,1752900,0,False,0,0,0,False,False,False,0,False,none,0,0,36,23,37,20,13.536572313996514,4.3437879720261316e-05,0.03800000002000001,0.38440540402264256,,,,
CP-SAT,S1,42,12,full_repair,True,False,True,False,False,False,False,False,False,0,3720500,0,0,3644800,True,12,12,0,False,False,False,0,True,optimal,20700,223,36,36,37,37,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523
GAC + CP-SAT,S1,42,12,full_repair,True,False,True,False,False,False,False,False,False,0,1208500,55400,0,1084700,True,12,12,0,False,False,False,0,True,optimal,16800,229,36,23,37,20,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523
GAC + expl repair,S1,42,12,local_repair,True,False,True,False,False,False,False,False,False,0,795600,51500,0,660700,True,2,2,0,False,False,False,0,False,optimal,26300,234,36,23,37,20,13.619621745285654,4.1410841692077464e-05,0.03800000002000001,0.39493405632319717,13.619621745285654,4.1410841692077464e-05,0.03800000002000001,0.39493405632319717
ConsistXApp expl,S1,42,12,local_repair,True,False,True,False,False,False,False,True,False,8,2677100,53900,1775500,769300,True,2,2,0,False,False,False,0,False,optimal,15300,232,36,23,37,20,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523
ConsistXApp radius,S1,42,12,local_repair,True,False,True,False,False,False,False,True,False,8,2492900,50900,1716500,648300,True,2,2,0,False,False,False,0,False,optimal,18100,235,36,23,37,20,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523
ConsistXApp assume,S1,42,12,local_repair,True,False,True,False,False,False,False,True,False,8,2447400,50500,1733700,598800,True,2,2,0,False,False,False,0,False,optimal,12700,235,36,23,37,20,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523,13.374123184950307,4.396549903635307e-05,0.03800000002000001,0.37672003683248523
