scenario,seed,outcome,executed_verified,total_ms
S1,42,blocked,False,0.105
S1,43,direct,True,0.146
S1,44,blocked,False,0.072
S1,45,blocked,False,0.075
S1,46,blocked,False,0.069
S1,47,blocked,False,0.072
S1,48,blocked,False,0.068
S1,49,blocked,False,0.073
S1,50,blocked,False,0.068
S1,51,blocked,False,0.127
S1,52,blocked,False,0.086
S1,53,blocked,False,0.07
S1,54,blocked,False,0.071
S1,55,blocked,False,0.065
S1,56,blocked,False,0.067
S1,57,blocked,False,0.051
S1,58,blocked,False,0.071
S1,59,blocked,False,0.064
S1,60,blocked,False,0.077
S1,61,blocked,False,0.061
S1,62,blocked,False,0.056
S1,63,blocked,False,0.054
S1,64,blocked,False,0.064
S1,65,blocked,False,0.056
S1,66,blocked,False,0.06
S1,67,blocked,False,0.066
S1,68,blocked,False,0.073
S1,69,blocked,False,0.057
S1,70,blocked,False,0.059
S1,71,blocked,False,0.064
S1,72,blocked,False,0.079
S1,73,blocked,False,0.067
S1,74,blocked,False,0.06
S1,75,blocked,False,0.083
S1,76,blocked,False,0.074
S1,77,blocked,False,0.079
S1,78,blocked,False,0.062
S1,79,blocked,False,0.069
S1,80,blocked,False,0.064
S1,81,blocked,False,0.079
S1,82,blocked,False,0.062
S1,83,blocked,False,0.06
S1,84,blocked,False,0.055
S1,85,blocked,False,0.078
S1,86,direct,True,0.074
S1,87,blocked,False,0.091
S1,88,blocked,False,0.058
S1,89,blocked,False,0.062
S1,90,blocked,False,0.081
S1,91,blocked,False,0.063
S2,42,blocked,False,0.168
S2,43,blocked,False,0.135
S2,44,blocked,False,0.118
S2,45,blocked,False,0.167
S2,46,blocked,False,0.126
S2,47,blocked,False,0.132
S2,48,blocked,False,0.149
S2,49,blocked,False,0.134
S2,50,blocked,False,0.136
S2,51,blocked,False,0.148
S2,52,blocked,False,0.135
S2,53,blocked,False,0.129
S2,54,blocked,False,0.145
S2,55,blocked,False,0.151
S2,56,blocked,False,0.132
S2,57,blocked,False,0.121
S2,58,blocked,False,0.139
