mu,scenario,episode,epoch,executed,churn,throughput,feasible
0.0,S1,0,0,True,0,8.1473,True
0.0,S1,0,1,True,0,9.0728,True
0.0,S1,0,2,True,0,11.4887,True
0.0,S1,0,3,True,0,11.9904,True
0.0,S1,0,4,True,3,14.8875,True
0.0,S1,0,5,True,1,11.9018,True
0.0,S1,0,6,True,0,11.5745,True
0.0,S1,0,7,True,0,9.8608,True
0.0,S1,0,8,True,0,8.2998,True
0.0,S1,0,9,True,0,17.9767,True
0.0,S1,0,10,True,0,11.8173,True
0.0,S1,0,11,True,0,12.4436,True
0.0,S1,0,12,True,0,11.4804,True
0.0,S1,0,13,True,0,12.8199,True
0.0,S1,0,14,True,0,10.5761,True
0.0,S1,0,15,True,0,10.4973,True
0.0,S1,0,16,True,2,12.1494,True
0.0,S1,0,17,True,0,15.1374,True
0.0,S1,0,18,True,0,12.1171,True
0.0,S1,0,19,True,0,8.3997,True
0.0,S1,0,20,True,0,12.9127,True
0.0,S1,0,21,True,0,13.3129,True
0.0,S1,0,22,True,0,13.2192,True
0.0,S1,0,23,True,0,7.5978,True
0.0,S1,0,24,True,0,9.7585,True
0.0,S1,0,25,True,0,11.0761,True
0.0,S1,0,26,True,0,10.9866,True
0.0,S1,0,27,True,0,12.6336,True
0.0,S1,0,28,True,0,8.5383,True
0.0,S1,0,29,True,0,10.4105,True
0.0,S1,0,30,True,0,8.7412,True
0.0,S1,0,31,True,0,10.1793,True
0.0,S1,0,32,True,0,10.4141,True
0.0,S1,0,33,True,0,16.1671,True
0.0,S1,0,34,True,0,11.4616,True
0.0,S1,0,35,True,0,13.6076,True
0.0,S1,0,36,True,0,10.3572,True
0.0,S1,0,37,True,0,10.0895,True
0.0,S1,0,38,True,0,11.2903,True
0.0,S1,0,39,True,0,11.1018,True
0.0,S1,0,40,True,0,12.6654,True
0.0,S1,0,41,True,0,11.4232,True
0.0,S1,0,42,True,0,7.6098,True
0.0,S1,0,43,True,0,10.923,True
0.0,S1,0,44,True,0,12.9283,True
0.0,S1,0,45,True,0,13.6235,True
0.0,S1,0,46,True,0,9.1799,True
0.0,S1,0,47,True,0,9.555,True
0.0,S1,0,48,True,0,15.7212,True
0.0,S1,0,49,True,0,14.0528,True
0.0,S1,0,50,True,0,17.0054,True
0.0,S1,0,51,True,0,11.6125,True
0.0,S1,0,52,True,0,10.8304,True
0.0,S1,0,53,True,0,11.0304,True
0.0,S1,0,54,True,0,8.5151,True
0.0,S1,0,55,True,0,11.2419,True
0.0,S1,0,56,True,0,11.0463,True
0.0,S1,0,57,True,0,11.9395,True
0.0,S1,0,58,True,0,13.2885,True
0.0,S1,0,59,True,0,15.2162,True
0.0,S1,0,60,True,0,9.0071,True
0.0,S1,0,61,True,0,12.3432,True
0.0,S1,0,62,True,0,8.658,True
0.0,S1,0,63,True,0,10.6146,True
0.0,S1,0,64,True,0,19.096,True
0.0,S1,0,65,True,0,14.5792,True
0.0,S1,0,66,True,0,11.0858,True
0.0,S1,0,67,True,0,11.3877,True
0.0,S1,0,68,True,0,14.9871,True
0.0,S1,0,69,True,0,8.9068,True
0.0,S1,0,70,True,0,12.4264,True
0.0,S1,0,71,True,0,12.5965,True
0.0,S1,0,72,True,0,10.0611,True
0.0,S1,0,73,True,0,10.2903,True
0.0,S1,0,74,True,0,13.281,True
0.0,S1,0,75,True,0,8.0126,True
0.0,S1,0,76,True,0,9.6169,True
0.0,S1,0,77,True,0,13.9267,True
0.0,S1,0,78,True,0,10.289,True
0.0,S1,0,79,True,0,10.8878,True
0.0,S1,0,80,True,0,12.0211,True
0.0,S1,0,81,True,0,13.2817,True
0.0,S1,0,82,True,0,9.2837,True
0.0,S1,0,83,True,0,9.1297,True
0.0,S1,0,84,True,0,12.5969,True
0.0,S1,0,85,True,0,11.0393,True
0.0,S1,0,86,True,0,10.7227,True
0.0,S1,0,87,True,0,14.8088,True
0.0,S1,0,88,True,0,12.3193,True
0.0,S1,0,89,True,0,10.8848,True
0.0,S1,0,90,True,0,12.2072,True
0.0,S1,0,91,True,0,12.9368,True
0.0,S1,0,92,True,0,14.5034,True
0.0,S1,0,93,True,0,9.1807,True
0.0,S1,0,94,True,0,12.8774,True
0.0,S1,0,95,True,0,9.0197,True
0.0,S1,0,96,True,0,11.5039,True
0.0,S1,0,97,True,0,8.0942,True
0.0,S1,0,98,True,0,13.5297,True
0.0,S1,0,99,True,0,14.5733,True
0.0,S1,1,0,True,0,10.8223,True
0.0,S1,1,1,True,4,13.9429,True
0.0,S1,1,2,True,1,12.5581,True
0.0,S1,1,3,True,4,12.8911,True
0.0,S1,1,4,True,0,12.084,True
0.0,S1,1,5,True,0,13.6399,True
0.0,S1,1,6,True,1,9.28,True
0.0,S1,1,7,True,0,8.2889,True
0.0,S1,1,8,True,0,17.9725,True
0.0,S1,1,9,True,0,10.7981,True
0.0,S1,1,10,True,0,12.0505,True
0.0,S1,1,11,True,0,12.9234,True
0.0,S1,1,12,True,0,11.8241,True
0.0,S1,1,13,True,0,13.541,True
0.0,S1,1,14,True,0,10.8695,True
0.0,S1,1,15,True,0,15.9297,True
0.0,S1,1,16,True,0,14.8315,True
0.0,S1,1,17,True,0,11.7136,True
0.0,S1,1,18,True,0,10.468,True
0.0,S1,1,19,True,0,14.6371,True
0.0,S1,1,20,True,0,10.9116,True
0.0,S1,1,21,True,0,12.0096,True
0.0,S1,1,22,True,0,7.5184,True
0.0,S1,1,23,True,0,9.1102,True
0.0,S1,1,24,True,0,12.5145,True
0.0,S1,1,25,True,0,10.2113,True
0.0,S1,1,26,True,1,13.4543,True
0.0,S1,1,27,True,0,7.3778,True
0.0,S1,1,28,True,0,10.3395,True
0.0,S1,1,29,True,0,9.752,True
0.0,S1,1,30,True,0,11.7896,True
0.0,S1,1,31,True,0,11.5861,True
0.0,S1,1,32,True,0,17.0332,True
0.0,S1,1,33,True,0,12.1018,True
0.0,S1,1,34,True,0,15.5986,True
0.0,S1,1,35,True,0,11.6439,True
0.0,S1,1,36,True,0,11.6161,True
0.0,S1,1,37,True,0,10.2492,True
0.0,S1,1,38,True,0,13.7428,True
0.0,S1,1,39,True,0,14.664,True
0.0,S1,1,40,True,0,13.5253,True
0.0,S1,1,41,True,0,8.5008,True
0.0,S1,1,42,True,0,11.4816,True
0.0,S1,1,43,True,0,13.056,True
0.0,S1,1,44,True,0,14.1078,True
0.0,S1,1,45,True,0,10.3786,True
0.0,S1,1,46,True,0,11.2103,True
0.0,S1,1,47,True,0,15.8551,True
0.0,S1,1,48,True,0,14.0161,True
0.0,S1,1,49,True,0,15.8013,True
0.0,S1,1,50,True,0,13.7927,True
0.0,S1,1,51,True,0,12.0079,True
0.0,S1,1,52,True,0,12.3628,True
0.0,S1,1,53,True,0,12.3204,True
0.0,S1,1,54,True,0,11.0189,True
0.0,S1,1,55,True,0,11.084,True
0.0,S1,1,56,True,0,11.6606,True
0.0,S1,1,57,True,0,14.8207,True
0.0,S1,1,58,True,0,15.1959,True
0.0,S1,1,59,True,0,12.4391,True
0.0,S1,1,60,True,0,16.341,True
0.0,S1,1,61,True,0,10.1069,True
0.0,S1,1,62,True,0,11.7988,True
0.0,S1,1,63,True,0,19.2278,True
0.0,S1,1,64,True,0,14.2496,True
0.0,S1,1,65,True,0,12.1439,True
0.0,S1,1,66,True,0,12.5496,True
0.0,S1,1,67,True,0,15.1918,True
0.0,S1,1,68,True,0,9.5218,True
0.0,S1,1,69,True,0,13.6362,True
0.0,S1,1,70,True,0,13.6748,True
0.0,S1,1,71,True,0,12.3459,True
0.0,S1,1,72,True,0,12.2302,True
0.0,S1,1,73,True,0,11.8311,True
0.0,S1,1,74,True,0,7.8296,True
0.0,S1,1,75,True,0,10.5358,True
0.0,S1,1,76,True,0,14.155,True
0.0,S1,1,77,True,0,11.6016,True
0.0,S1,1,78,True,0,12.4802,True
0.0,S1,1,79,True,0,11.7724,True
0.0,S1,1,80,True,0,12.9822,True
0.0,S1,1,81,True,0,8.8899,True
0.0,S1,1,82,True,0,11.6464,True
0.0,S1,1,83,True,0,13.4694,True
0.0,S1,1,84,True,0,12.8401,True
0.0,S1,1,85,True,0,12.5644,True
0.0,S1,1,86,True,0,17.4498,True
0.0,S1,1,87,True,0,11.4599,True
0.0,S1,1,88,True,0,12.1373,True
0.0,S1,1,89,True,0,14.9096,True
0.0,S1,1,90,True,0,13.2667,True
0.0,S1,1,91,True,0,15.0546,True
0.0,S1,1,92,True,0,8.6042,True
0.0,S1,1,93,True,0,11.7778,True
0.0,S1,1,94,True,0,11.5416,True
0.0,S1,1,95,True,0,11.8778,True
0.0,S1,1,96,True,0,8.7338,True
0.0,S1,1,97,True,0,13.5813,True
0.0,S1,1,98,True,0,12.7556,True
0.0,S1,1,99,True,0,12.8252,True
0.0,S1,2,0,True,0,12.9419,True
0.0,S1,2,1,True,1,13.3392,True
0.0,S1,2,2,True,0,16.3436,True
0.0,S1,2,3,True,2,11.9181,True
0.0,S1,2,4,True,0,14.0678,True
0.0,S1,2,5,True,0,10.7653,True
0.0,S1,2,6,True,0,8.8472,True
0.0,S1,2,7,True,0,19.4256,True
0.0,S1,2,8,True,0,14.0804,True
