Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,68.10951232910156,False,False,False,False,0,8.812837983792608,5.9912595802966864e-05,0.04000000002,0.3913165481993758,AblationCfg,0.6,3.0,10,0,Full VeriXApp
VeriXApp,True,207.6740264892578,False,False,False,False,0,8.812837983792608,5.9912595802966864e-05,0.04000000002,0.3913165481993758,AblationCfg,0.6,3.0,10,0,No polarization
VeriXApp,True,67.48414039611816,False,False,False,False,0,8.812837983792608,5.9912595802966864e-05,0.04000000002,0.3913165481993758,AblationCfg,0.6,3.0,10,0,No exact repair
VeriXApp,True,66.99228286743164,False,False,False,False,0,8.812837983792608,5.9912595802966864e-05,0.04000000002,0.3913165481993758,AblationCfg,0.6,3.0,10,0,Repair radius h=0
VeriXApp,True,67.25382804870605,False,False,False,False,0,8.812837983792608,5.9912595802966864e-05,0.04000000002,0.3913165481993758,AblationCfg,0.6,3.0,10,0,Repair radius h=1
VeriXApp,True,67.72780418395996,False,False,False,False,0,8.812837983792608,5.9912595802966864e-05,0.04000000002,0.3913165481993758,AblationCfg,0.6,3.0,10,0,Repair radius h=2
VeriXApp,True,91.39132499694824,True,True,True,False,2,6.481449413330682,7.776038473175476e-05,0.036000000020000006,0.2705549161275943,AblationCfg,0.6,3.0,10,1,Full VeriXApp
VeriXApp,True,564.5997524261475,False,True,True,False,2,6.481449413330682,7.776038473175476e-05,0.036000000020000006,0.2705549161275943,AblationCfg,0.6,3.0,10,1,No polarization
VeriXApp,False,87.40544319152832,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,1,No exact repair
VeriXApp,True,92.83208847045898,True,True,True,False,2,6.481449413330682,7.776038473175476e-05,0.036000000020000006,0.2705549161275943,AblationCfg,0.6,3.0,10,1,Repair radius h=0
VeriXApp,True,90.03400802612305,True,True,True,False,2,6.481449413330682,7.776038473175476e-05,0.036000000020000006,0.2705549161275943,AblationCfg,0.6,3.0,10,1,Repair radius h=1
VeriXApp,True,89.03264999389648,True,True,True,False,2,6.481449413330682,7.776038473175476e-05,0.036000000020000006,0.2705549161275943,AblationCfg,0.6,3.0,10,1,Repair radius h=2
VeriXApp,True,73.87948036193848,False,False,False,False,0,10.102002313968498,5.38507102941153e-05,0.03200000002,0.4685163950506913,AblationCfg,0.6,3.0,10,2,Full VeriXApp
VeriXApp,True,192.78264045715332,False,False,False,False,0,10.55722787266592,5.152867841457596e-05,0.03200000002,0.48057043604800787,AblationCfg,0.6,3.0,10,2,No polarization
VeriXApp,True,72.62492179870605,False,False,False,False,0,10.102002313968498,5.38507102941153e-05,0.03200000002,0.4685163950506913,AblationCfg,0.6,3.0,10,2,No exact repair
VeriXApp,True,73.44174385070801,False,False,False,False,0,10.102002313968498,5.38507102941153e-05,0.03200000002,0.4685163950506913,AblationCfg,0.6,3.0,10,2,Repair radius h=0
VeriXApp,True,74.5992660522461,False,False,False,False,0,10.102002313968498,5.38507102941153e-05,0.03200000002,0.4685163950506913,AblationCfg,0.6,3.0,10,2,Repair radius h=1
VeriXApp,True,74.45788383483887,False,False,False,False,0,10.102002313968498,5.38507102941153e-05,0.03200000002,0.4685163950506913,AblationCfg,0.6,3.0,10,2,Repair radius h=2
VeriXApp,True,71.52509689331055,False,False,False,False,0,12.523905230958462,4.21593736348955e-05,0.04000000002,0.5415534621455659,AblationCfg,0.6,3.0,10,3,Full VeriXApp
VeriXApp,True,546.821117401123,False,False,False,False,0,12.444817480913633,4.242729962169256e-05,0.04000000002,0.5358975359523475,AblationCfg,0.6,3.0,10,3,No polarization
VeriXApp,True,71.72584533691406,False,False,False,False,0,12.523905230958462,4.21593736348955e-05,0.04000000002,0.5415534621455659,AblationCfg,0.6,3.0,10,3,No exact repair
VeriXApp,True,71.39086723327637,False,False,False,False,0,12.523905230958462,4.21593736348955e-05,0.04000000002,0.5415534621455659,AblationCfg,0.6,3.0,10,3,Repair radius h=0
VeriXApp,True,71.4569091796875,False,False,False,False,0,12.523905230958462,4.21593736348955e-05,0.04000000002,0.5415534621455659,AblationCfg,0.6,3.0,10,3,Repair radius h=1
VeriXApp,True,71.28381729125977,False,False,False,False,0,12.523905230958462,4.21593736348955e-05,0.04000000002,0.5415534621455659,AblationCfg,0.6,3.0,10,3,Repair radius h=2
VeriXApp,True,52.022457122802734,True,True,True,False,2,9.88307245416224,5.3424681691737844e-05,0.04000000002,0.39402773397452706,AblationCfg,0.6,3.0,10,4,Full VeriXApp
VeriXApp,True,425.74548721313477,True,True,True,False,2,10.590069549415219,4.834718012104769e-05,0.03200000002,0.42362522378158507,AblationCfg,0.6,3.0,10,4,No polarization
VeriXApp,False,45.67742347717285,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,4,No exact repair
VeriXApp,True,49.48711395263672,True,True,True,False,2,9.88307245416224,5.3424681691737844e-05,0.04000000002,0.39402773397452706,AblationCfg,0.6,3.0,10,4,Repair radius h=0
VeriXApp,True,49.90506172180176,True,True,True,False,2,9.88307245416224,5.3424681691737844e-05,0.04000000002,0.39402773397452706,AblationCfg,0.6,3.0,10,4,Repair radius h=1
VeriXApp,True,50.7807731628418,True,True,True,False,2,9.88307245416224,5.3424681691737844e-05,0.04000000002,0.39402773397452706,AblationCfg,0.6,3.0,10,4,Repair radius h=2
VeriXApp,True,64.01848793029785,True,True,True,False,2,10.409936138746962,5.3026261894671324e-05,0.02800000002,0.5376466863730388,AblationCfg,0.6,3.0,10,5,Full VeriXApp
VeriXApp,True,546.7705726623535,False,True,True,False,2,10.409936138746962,5.3026261894671324e-05,0.02800000002,0.5376466863730388,AblationCfg,0.6,3.0,10,5,No polarization
VeriXApp,False,60.93001365661621,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,5,No exact repair
VeriXApp,True,64.29815292358398,True,True,True,False,2,10.409936138746962,5.3026261894671324e-05,0.02800000002,0.5376466863730388,AblationCfg,0.6,3.0,10,5,Repair radius h=0
VeriXApp,True,62.12329864501953,True,True,True,False,2,10.409936138746962,5.3026261894671324e-05,0.02800000002,0.5376466863730388,AblationCfg,0.6,3.0,10,5,Repair radius h=1
VeriXApp,True,62.77823448181152,True,True,True,False,2,10.409936138746962,5.3026261894671324e-05,0.02800000002,0.5376466863730388,AblationCfg,0.6,3.0,10,5,Repair radius h=2
VeriXApp,True,63.89880180358887,True,True,True,False,2,10.40746788950059,5.15014800613255e-05,0.036000000020000006,0.41938825882178354,AblationCfg,0.6,3.0,10,6,Full VeriXApp
VeriXApp,True,299.47519302368164,True,True,True,False,2,10.40746788950059,5.15014800613255e-05,0.036000000020000006,0.41938825882178354,AblationCfg,0.6,3.0,10,6,No polarization
VeriXApp,False,59.66687202453613,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,6,No exact repair
VeriXApp,True,65.76848030090332,True,True,True,False,2,10.40746788950059,5.15014800613255e-05,0.036000000020000006,0.41938825882178354,AblationCfg,0.6,3.0,10,6,Repair radius h=0
VeriXApp,True,64.1331672668457,True,True,True,False,2,10.40746788950059,5.15014800613255e-05,0.036000000020000006,0.41938825882178354,AblationCfg,0.6,3.0,10,6,Repair radius h=1
VeriXApp,True,63.04144859313965,True,True,True,False,2,10.40746788950059,5.15014800613255e-05,0.036000000020000006,0.41938825882178354,AblationCfg,0.6,3.0,10,6,Repair radius h=2
VeriXApp,True,40.978431701660156,False,False,False,False,0,13.517250679949925,3.728568863101584e-05,0.036000000020000006,0.4392100114847147,AblationCfg,0.6,3.0,10,7,Full VeriXApp
VeriXApp,True,447.21245765686035,False,False,False,False,0,13.517250679949925,3.728568863101584e-05,0.036000000020000006,0.4392100114847147,AblationCfg,0.6,3.0,10,7,No polarization
VeriXApp,True,39.56127166748047,False,False,False,False,0,13.517250679949925,3.728568863101584e-05,0.036000000020000006,0.4392100114847147,AblationCfg,0.6,3.0,10,7,No exact repair
VeriXApp,True,40.003299713134766,False,False,False,False,0,13.517250679949925,3.728568863101584e-05,0.036000000020000006,0.4392100114847147,AblationCfg,0.6,3.0,10,7,Repair radius h=0
VeriXApp,True,39.957284927368164,False,False,False,False,0,13.517250679949925,3.728568863101584e-05,0.036000000020000006,0.4392100114847147,AblationCfg,0.6,3.0,10,7,Repair radius h=1
VeriXApp,True,40.11082649230957,False,False,False,False,0,13.517250679949925,3.728568863101584e-05,0.036000000020000006,0.4392100114847147,AblationCfg,0.6,3.0,10,7,Repair radius h=2
VeriXApp,True,64.61143493652344,True,True,True,False,3,9.514548751293436,5.717559647020013e-05,0.04000000002,0.2750521446815125,AblationCfg,0.6,3.0,10,8,Full VeriXApp
VeriXApp,True,563.1499290466309,True,True,True,False,3,9.514548751293436,5.717559647020013e-05,0.04000000002,0.2750521446815125,AblationCfg,0.6,3.0,10,8,No polarization
VeriXApp,False,61.60593032836914,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,8,No exact repair
VeriXApp,True,65.17672538757324,True,True,True,False,3,9.514548751293436,5.717559647020013e-05,0.04000000002,0.2750521446815125,AblationCfg,0.6,3.0,10,8,Repair radius h=0
VeriXApp,True,65.11545181274414,True,True,True,False,3,9.514548751293436,5.717559647020013e-05,0.04000000002,0.2750521446815125,AblationCfg,0.6,3.0,10,8,Repair radius h=1
VeriXApp,True,65.39535522460938,True,True,True,False,3,9.514548751293436,5.717559647020013e-05,0.04000000002,0.2750521446815125,AblationCfg,0.6,3.0,10,8,Repair radius h=2
