Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
Uncoordinated,False,0.021696090698242188,False,False,False,False,0,12.194703992234798,4.559356261160937e-05,0.034000000020000004,0.5437425196265713,Load,0.3,3.0,10,0,
Static priority,False,0.9717941284179688,False,False,False,False,0,11.489750444645818,4.839095528476808e-05,0.034000000020000004,0.5373286261480279,Load,0.3,3.0,10,0,
Continuous only,True,169.0366268157959,False,False,False,False,0,7.963632746262171,6.881281664541984e-05,0.03800000002000001,0.4187534861664697,Load,0.3,3.0,10,0,
CP-SAT,True,10.123491287231445,False,False,False,False,0,11.231108408426728,4.9505354216226054e-05,0.03800000002000001,0.5109730834853495,Load,0.3,3.0,10,0,
VeriXApp,True,169.85511779785156,False,False,False,False,0,7.963632746262171,6.881281664541984e-05,0.03800000002000001,0.4187534861664697,Load,0.3,3.0,10,0,
Uncoordinated,False,0.025510787963867188,False,False,False,False,0,5.661979552794387,9.4666537560254e-05,0.034000000020000004,0.43524726727290974,Load,0.3,3.0,10,1,
Static priority,False,0.6692409515380859,False,False,False,False,0,6.380984375025352,8.71338914691812e-05,0.03800000002000001,0.38908580589837666,Load,0.3,3.0,10,1,
Continuous only,True,116.3167953491211,False,False,False,False,0,5.944724958331064,8.949110408454539e-05,0.034000000020000004,0.424298564058429,Load,0.3,3.0,10,1,
CP-SAT,True,10.112285614013672,False,False,False,False,0,6.039284996070449,8.610290793336393e-05,0.03200000002,0.4487797352626826,Load,0.3,3.0,10,1,
VeriXApp,True,117.52629280090332,False,False,False,False,0,5.944724958331064,8.949110408454539e-05,0.034000000020000004,0.424298564058429,Load,0.3,3.0,10,1,
Uncoordinated,False,0.020503997802734375,False,False,False,False,0,9.338264545624497,5.8254935629864405e-05,0.042000000020000004,0.448660660170271,Load,0.3,3.0,10,2,
Static priority,False,1.0464191436767578,False,False,False,False,0,11.030511348318951,5.1493532988981797e-05,0.036000000020000006,0.5273419061491847,Load,0.3,3.0,10,2,
Continuous only,False,123.56233596801758,True,False,False,False,0,9.28639574555762,5.5995890574527266e-05,0.03200000002,0.540692624454297,Load,0.3,3.0,10,2,
CP-SAT,True,8.779287338256836,False,False,False,False,0,9.856079314716206,5.5194361026270186e-05,0.03800000002000001,0.49399473920520137,Load,0.3,3.0,10,2,
VeriXApp,True,121.41132354736328,True,True,True,False,5,9.322378295940867,5.749605765659436e-05,0.03200000002,0.5379493799183156,Load,0.3,3.0,10,2,
Uncoordinated,False,0.023365020751953125,False,False,False,False,0,12.543662974107688,4.368739826087226e-05,0.04000000002,0.5677833563748007,Load,0.3,3.0,10,3,
Static priority,False,0.4734992980957031,False,False,False,False,0,12.0344926742719,4.4206267301765307e-05,0.03800000002000001,0.5977557735076824,Load,0.3,3.0,10,3,
Continuous only,True,86.30108833312988,False,False,False,False,0,13.48851163207267,4.0627165913322736e-05,0.04600000002,0.5924929061969412,Load,0.3,3.0,10,3,
CP-SAT,True,10.11037826538086,False,False,False,False,0,9.609571072701804,5.5777723682447306e-05,0.04600000002,0.5248053231735867,Load,0.3,3.0,10,3,
VeriXApp,True,85.06584167480469,False,False,False,False,0,13.48851163207267,4.0627165913322736e-05,0.04600000002,0.5924929061969412,Load,0.3,3.0,10,3,
Uncoordinated,False,0.020265579223632812,False,False,False,False,0,9.504023345745706,6.060591173293313e-05,0.034000000020000004,0.5082116126415392,Load,0.3,3.0,10,4,
Static priority,False,0.9620189666748047,False,False,False,False,0,10.113063363203459,5.023205944188643e-05,0.04000000002,0.505310825979581,Load,0.3,3.0,10,4,
Continuous only,False,89.38980102539062,True,False,False,False,0,7.7063182994666795,7.266764468303303e-05,0.04600000002,0.38653148493669937,Load,0.3,3.0,10,4,
CP-SAT,True,11.011362075805664,False,False,False,False,0,9.097224956669963,6.243662245414191e-05,0.042000000020000004,0.4316550864680743,Load,0.3,3.0,10,4,
VeriXApp,True,92.06438064575195,True,True,True,False,4,8.299523770466486,6.74737509630055e-05,0.042000000020000004,0.4238128440577806,Load,0.3,3.0,10,4,
Uncoordinated,False,0.019788742065429688,False,False,False,False,0,8.058304489081543,7.147905626803268e-05,0.042000000020000004,0.48690348683282286,Load,0.3,3.0,10,5,
Static priority,False,0.43511390686035156,False,False,False,False,0,8.96506169130062,6.157235934423533e-05,0.03800000002000001,0.5385001966217877,Load,0.3,3.0,10,5,
Continuous only,True,96.64320945739746,False,False,False,False,0,9.847667993464766,5.646006753771347e-05,0.034000000020000004,0.5636708728846257,Load,0.3,3.0,10,5,
CP-SAT,True,9.347200393676758,False,False,False,False,0,8.572443911272083,6.765865207205919e-05,0.03800000002000001,0.4939138656420752,Load,0.3,3.0,10,5,
VeriXApp,True,96.80485725402832,False,False,False,False,0,9.847667993464766,5.646006753771347e-05,0.034000000020000004,0.5636708728846257,Load,0.3,3.0,10,5,
Uncoordinated,False,0.020503997802734375,False,False,False,False,0,11.4614445026773,4.95574532396261e-05,0.036000000020000006,0.5248403665266195,Load,0.3,3.0,10,6,
Static priority,False,0.6346702575683594,False,False,False,False,0,11.502799934443907,4.8683799004722304e-05,0.04000000002,0.5157957069064704,Load,0.3,3.0,10,6,
Continuous only,True,256.03699684143066,False,False,False,False,0,10.052594975877145,5.2523751455919874e-05,0.042000000020000004,0.4930569991077017,Load,0.3,3.0,10,6,
CP-SAT,True,7.249593734741211,False,False,False,False,0,12.903160711431205,4.371022051212146e-05,0.03200000002,0.5825755143042416,Load,0.3,3.0,10,6,
VeriXApp,True,263.6280059814453,False,False,False,False,0,10.052594975877145,5.2523751455919874e-05,0.042000000020000004,0.4930569991077017,Load,0.3,3.0,10,6,
Uncoordinated,False,0.020742416381835938,False,False,False,False,0,13.811935477158842,4.141345729176995e-05,0.04000000002,0.5886452120071112,Load,0.3,3.0,10,7,
Static priority,False,0.5559921264648438,False,False,False,False,0,12.883457552487569,4.3777068205662036e-05,0.04400000002,0.5596913357922166,Load,0.3,3.0,10,7,
Continuous only,False,210.26134490966797,True,False,False,False,0,12.906691233244963,4.152884657373495e-05,0.036000000020000006,0.618389410506843,Load,0.3,3.0,10,7,
CP-SAT,True,8.884429931640625,False,False,False,False,0,12.615683200074194,4.534039028473987e-05,0.04000000002,0.547039212778411,Load,0.3,3.0,10,7,
VeriXApp,True,213.0885124206543,True,True,True,False,11,13.009719264866925,4.0892504224643756e-05,0.036000000020000006,0.6110474276342669,Load,0.3,3.0,10,7,
Uncoordinated,False,0.020503997802734375,False,False,False,False,0,11.30979451503805,4.703887407438102e-05,0.042000000020000004,0.4865240521232163,Load,0.3,3.0,10,8,
