Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
Uncoordinated,False,0.00858306884765625,False,False,False,False,0,13.792899753476751,3.915057817076378e-05,0.020000000020000002,0.43626049201659317,S1,0.6,3.0,10,0,
Static priority,False,0.17452239990234375,False,False,False,False,0,13.999619288515632,3.857247749894031e-05,0.020000000020000002,0.43836794791812467,S1,0.6,3.0,10,0,
Continuous only,True,10.628461837768555,False,False,False,False,0,12.91375995758452,4.181586166799134e-05,0.03800000002000001,0.3812802707047114,S1,0.6,3.0,10,0,
CP-SAT,True,5.088090896606445,False,False,False,False,0,14.551628598186234,3.7109248381126735e-05,0.026000000020000004,0.45896467744569924,S1,0.6,3.0,10,0,
VeriXApp,True,10.34235954284668,False,False,False,False,0,12.91375995758452,4.181586166799134e-05,0.03800000002000001,0.3812802707047114,S1,0.6,3.0,10,0,
Uncoordinated,False,0.008344650268554688,False,False,False,False,0,8.429680344694413,6.690645160168831e-05,0.026000000020000004,0.33123345235826857,S1,0.6,3.0,10,1,
Static priority,False,0.12564659118652344,False,False,False,False,0,8.894899380326057,6.340712535180197e-05,0.03200000002,0.36261402498463363,S1,0.6,3.0,10,1,
Continuous only,True,13.81826400756836,False,False,False,False,0,7.367379246308233,7.818248263636374e-05,0.03200000002,0.2686549260920473,S1,0.6,3.0,10,1,
CP-SAT,True,4.154682159423828,False,False,False,False,0,8.523213583508568,6.617222418211774e-05,0.026000000020000004,0.33436799445708626,S1,0.6,3.0,10,1,
VeriXApp,True,13.763189315795898,False,False,False,False,0,7.367379246308233,7.818248263636374e-05,0.03200000002,0.2686549260920473,S1,0.6,3.0,10,1,
Uncoordinated,False,0.008106231689453125,False,False,False,False,0,8.695582149662275,6.348051119515201e-05,0.03800000002000001,0.45419303790247645,S1,0.6,3.0,10,2,
Static priority,False,0.09202957153320312,False,False,False,False,0,10.52595266076637,5.7001966409785786e-05,0.03200000002,0.4932909063392464,S1,0.6,3.0,10,2,
Continuous only,True,9.348630905151367,False,False,False,False,0,9.842413299546878,5.730301937492964e-05,0.03200000002,0.4234720187221011,S1,0.6,3.0,10,2,
CP-SAT,True,3.8878917694091797,False,False,False,False,0,8.916869167228459,6.325089999894015e-05,0.03800000002000001,0.4694483310957265,S1,0.6,3.0,10,2,
VeriXApp,True,9.393930435180664,False,False,False,False,0,9.842413299546878,5.730301937492964e-05,0.03200000002,0.4234720187221011,S1,0.6,3.0,10,2,
Uncoordinated,False,0.007867813110351562,False,False,False,False,0,15.694303537453973,3.746582309923828e-05,0.020000000020000002,0.6305093196383627,S1,0.6,3.0,10,3,
Static priority,False,0.10466575622558594,False,False,False,False,0,15.014958481128428,3.836174443798472e-05,0.026000000020000004,0.5833974413678196,S1,0.6,3.0,10,3,
Continuous only,True,9.666919708251953,False,False,False,False,0,14.916544614817969,3.941931695198939e-05,0.026000000020000004,0.5818277670505714,S1,0.6,3.0,10,3,
CP-SAT,True,3.769397735595703,False,False,False,False,0,14.70127677097804,3.999652609498364e-05,0.026000000020000004,0.5865271525470575,S1,0.6,3.0,10,3,
VeriXApp,True,9.78231430053711,False,False,False,False,0,14.916544614817969,3.941931695198939e-05,0.026000000020000004,0.5818277670505714,S1,0.6,3.0,10,3,
Uncoordinated,False,0.007867813110351562,False,False,False,False,0,12.607132918894793,4.3784737065213015e-05,0.026000000020000004,0.4952792138952726,S1,0.6,3.0,10,4,
Static priority,True,0.1316070556640625,False,False,False,False,0,13.105850290280868,4.21185949613171e-05,0.026000000020000004,0.5153888332564277,S1,0.6,3.0,10,4,
