Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Size,Load,Mobility,Cells,Seed,AblationConfig
Uncoordinated,False,0.009298324584960938,False,False,False,False,0,13.626524064995012,4.403177194258451e-05,0.03200000002,0.414750297359821,Scale,8,0.6,3.0,10,0,
Static priority,True,0.11539459228515625,False,False,False,False,0,13.87674874549075,4.208478590417448e-05,0.028000000020000002,0.42541640368107847,Scale,8,0.6,3.0,10,0,
Continuous only,True,18.91303062438965,False,False,False,False,0,13.177761936337173,4.249583523404088e-05,0.024000000020000002,0.40527177248219104,Scale,8,0.6,3.0,10,0,
CP-SAT,True,8.481264114379883,False,False,False,False,0,13.334583226445668,4.199606320573905e-05,0.03200000002,0.40275418911116595,Scale,8,0.6,3.0,10,0,
VeriXApp,True,18.848657608032227,False,False,False,False,0,13.177761936337173,4.249583523404088e-05,0.024000000020000002,0.40527177248219104,Scale,8,0.6,3.0,10,0,
Uncoordinated,False,0.0069141387939453125,False,False,False,False,0,7.806507020661623,7.378460026686589e-05,0.03200000002,0.29326114475974585,Scale,8,0.6,3.0,10,1,
Static priority,True,0.10752677917480469,False,False,False,False,0,7.71810124350739,7.566627873549491e-05,0.03200000002,0.29109628256922154,Scale,8,0.6,3.0,10,1,
Continuous only,True,17.678260803222656,False,False,False,False,0,7.71810124350739,7.566627873549491e-05,0.03200000002,0.29109628256922154,Scale,8,0.6,3.0,10,1,
CP-SAT,True,5.638360977172852,False,False,False,False,0,7.71810124350739,7.566627873549491e-05,0.03200000002,0.29109628256922154,Scale,8,0.6,3.0,10,1,
VeriXApp,True,17.517805099487305,False,False,False,False,0,7.71810124350739,7.566627873549491e-05,0.03200000002,0.29109628256922154,Scale,8,0.6,3.0,10,1,
Uncoordinated,False,0.0133514404296875,False,False,False,False,0,11.798442800975506,4.882000190333387e-05,0.028000000020000002,0.5654184822700905,Scale,8,0.6,3.0,10,2,
Static priority,False,0.08344650268554688,False,False,False,False,0,12.28194705620857,4.754946404892584e-05,0.028000000020000002,0.5472333277818329,Scale,8,0.6,3.0,10,2,
Continuous only,True,31.091928482055664,False,False,False,False,0,11.134243276553034,5.029529049174558e-05,0.03200000002,0.5081536038032213,Scale,8,0.6,3.0,10,2,
CP-SAT,True,5.456447601318359,False,False,False,False,0,11.164009521871158,5.159436660024085e-05,0.03200000002,0.5159231808038389,Scale,8,0.6,3.0,10,2,
VeriXApp,True,29.562711715698242,False,False,False,False,0,11.134243276553034,5.029529049174558e-05,0.03200000002,0.5081536038032213,Scale,8,0.6,3.0,10,2,
Uncoordinated,False,0.0073909759521484375,False,False,False,False,0,16.068766790173303,3.6343797108135236e-05,0.024000000020000002,0.6308484816266332,Scale,8,0.6,3.0,10,3,
Static priority,False,0.09584426879882812,False,False,False,False,0,16.165376159943346,3.513682542120261e-05,0.028000000020000002,0.6238247623538409,Scale,8,0.6,3.0,10,3,
Continuous only,False,15.9759521484375,True,False,False,False,0,15.153510564804003,3.6427202636601694e-05,0.03200000002,0.5445864290944137,Scale,8,0.6,3.0,10,3,
CP-SAT,True,3.789663314819336,False,False,False,False,0,16.31437427984443,3.481592307844345e-05,0.024000000020000002,0.6378379539266242,Scale,8,0.6,3.0,10,3,
VeriXApp,True,20.2786922454834,True,True,True,False,4,16.52265165604553,3.3408681093753305e-05,0.028000000020000002,0.6204798636766979,Scale,8,0.6,3.0,10,3,
Uncoordinated,True,0.008344650268554688,False,False,False,False,0,13.597941011549672,4.23593542221402e-05,0.028000000020000002,0.5126325097700316,Scale,8,0.6,3.0,10,4,
Static priority,True,0.09918212890625,False,False,False,False,0,13.597941011549672,4.23593542221402e-05,0.028000000020000002,0.5126325097700316,Scale,8,0.6,3.0,10,4,
Continuous only,False,22.76444435119629,True,False,False,False,0,12.293246295588288,4.4902704031733084e-05,0.028000000020000002,0.5074194571438072,Scale,8,0.6,3.0,10,4,
